# name                   RA(J2000)     Dec(J2000)    z      r    tier  exposure    status  comment
P15441                 08:20:45.37  +24:31:52.9  0.652  16.9 B    2 x 4 min   primary brightening, last spec 7.8 yr ago; DR16 quasar | WHY: BLIND manifold stratum (W1 manifold, Hemmati+2026): literature-CLAGN region, 26% of the 50 nearest training objects are literature CLAGNs, archival SDSS spectrum as baseline, no photometric trigger; optical brighter by 0.30 mag since the 11125-58433-162 spectrum (ZTF vs synthetic); W1 faded 0.24 mag 2014-24; W1 amplitude 0.49 mag; log Edd -0.51; manifold prior P_hb 0.12 (literature corner), direction turn-on-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 1.2
P21743                 09:59:31.67  +50:44:49.1  0.143  16.9 B    2 x 4 min   primary flat/unknown, last spec 12.7 yr ago; DR16 quasar | WHY: BLIND manifold stratum (W1 manifold, Hemmati+2026): literature-CLAGN region, 28% of the 50 nearest training objects are literature CLAGNs, archival SDSS spectrum as baseline, no photometric trigger; optical fainter by 0.05 mag since the 7282-56660-707 spectrum (ZTF vs synthetic); W1 faded 0.20 mag 2014-24; log Edd -0.62; manifold prior P_hb 0.11 (literature corner), direction turn-on-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 1.292
P18130                 08:42:03.73  +40:18:31.3  0.152  16.7 B    2 x 4 min   primary flat/unknown, last spec 24.6 yr ago; DR16 quasar | WHY: nan
P18492                 08:52:44.94  +62:58:52.3  0.113  18.0 D1   2 x 4 min   primary fading, last spec 18.7 yr ago; DR16 quasar | WHY: P(broad Hbeta fell > 2x) = 0.73, P(continuum dimmed) = 0.11; optical fainter by 0.63 mag since the 1876-54464-284 spectrum (ZTF vs synthetic); W1 faded 0.29 mag 2014-24; W1-W2 bluer by 0.17; W1 amplitude 0.56 mag; manifold prior P_hb 0.11, direction neutral; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 3.369
P18872                 09:09:54.62  +56:42:35.2  0.111  17.6 D1   2 x 4 min   primary fading, last spec 25.7 yr ago; DR16 quasar | WHY: P(broad Hbeta fell > 2x) = 0.64, P(continuum dimmed) = 0.05; optical fainter by 0.62 mag since the 450-51908-575 spectrum (ZTF vs synthetic); W1 faded 0.28 mag 2014-24; W1 amplitude 0.42 mag; manifold prior P_hb 0.13, direction neutral; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 2.976
P17336                 08:35:14.65  +15:10:09.8  0.213  18.5 D1   2 x 6 min   primary fading, last spec 20.5 yr ago; DR16 quasar | WHY: P(broad Hbeta fell > 2x) = 0.67, P(continuum dimmed) = 0.10; optical fainter by 0.52 mag since the 2427-53815-378 spectrum (ZTF vs synthetic); W1 faded 0.37 mag 2014-24; W1 amplitude 0.57 mag; manifold prior P_hb 0.10, direction turn-on-like; oct26: x1.0 moon, 11 min + 5 overhead -> yield/h 2.52
P23046                 10:00:36.45  +51:16:52.9  0.117  18.2 D1   2 x 4 min   primary flat/unknown, last spec 24.4 yr ago; DR16 quasar | WHY: P(broad Hbeta fell > 2x) = 0.55, P(continuum dimmed) = 0.08; optical fainter by 0.16 mag since the 903-52400-242 spectrum (ZTF vs synthetic); W1 amplitude 1.91 mag; manifold prior P_hb 0.21, direction turn-on-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 2.558
P15681                 08:03:40.52  +16:07:26.0  0.148  18.1 D1   2 x 4 min   primary fading, last spec 20.8 yr ago; DR16 quasar | WHY: P(broad Hbeta fell > 2x) = 0.50, P(continuum dimmed) = 0.05; optical fainter by 0.49 mag since the 2267-53713-338 spectrum (ZTF vs synthetic); W1 faded 0.44 mag 2014-24; W1-W2 bluer by 0.10; W1 amplitude 0.41 mag; manifold prior P_hb 0.21, direction neutral; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 2.323
P20272                 09:05:20.80  +10:21:50.7  0.179  18.4 D1   2 x 5 min   primary fading, last spec 22.6 yr ago; DR16 quasar | WHY: P(broad Hbeta fell > 2x) = 0.61, P(continuum dimmed) = 0.06; optical fainter by 0.53 mag since the 1738-53051-608 spectrum (ZTF vs synthetic); W1 amplitude 0.74 mag; manifold prior P_hb 0.21, direction turn-on-like; oct26: x1.0 moon, 10 min + 5 overhead -> yield/h 2.422
P17151                 08:53:59.05  +21:28:03.4  0.084  16.8 K    2 x 4 min   backup  brightening, last spec 1.8 yr ago; DR16 quasar | WHY: KNOWN changer (turn-on) with recent photometric motion; optical brighter by 0.34 mag since the 2280-53680-620 spectrum (ZTF vs synthetic); W1 faded 0.64 mag 2014-24; W1-W2 bluer by 0.23; W1 amplitude 0.82 mag; manifold prior P_hb 0.19, direction turn-on-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 4.615
