name,RA,DECL,slitwidth,exptime,nexp,binspect,binspat,slitangle,airmass_max,mag,magsystem,magfilter,channel,wrange,Note,Comment
P22627,10:02:35.7,+40:06:15,SET 1.3,SNR 7,2,3,2,PA,2.0,18.03,AB,r,R,7113:7193,D1 backup,"backup; D1; z=0.090; r=18.0; line Ha at 7153 A (R); trend fading; last spectrum 22.6 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.51, P(continuum dimmed) = 0.04; optical fainter by 0.60 mag since the 1356-53033-477 spectrum (ZTF vs synthetic); W1 brightened 0.26 mag 2014-24; W1 amplitude 0.92 mag; manifold prior P_hb 0.21, direction turn-on-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 2.369"
P21253,09:30:05.3,+17:39:26,SET 1.3,SNR 7,2,3,2,PA,2.0,18.68,AB,r,R,5873:5953,D1 backup,"backup; D1; z=0.217; r=18.7; line Hb at 5914 A (R); trend fading; last spectrum 20.6 yr ago; exposure model 15 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.75, P(continuum dimmed) = 0.18; optical fainter by 0.72 mag since the 2368-53758-459 spectrum (ZTF vs synthetic); W1 faded 0.35 mag 2014-24; W1 amplitude 0.80 mag; manifold prior P_hb 0.22, direction neutral; oct26: x1.0 moon, 15 min + 5 overhead -> yield/h 2.264"
P16524,08:14:59.4,+57:12:18,SET 1.3,SNR 7,2,3,2,PA,2.0,18.74,AB,r,R,5923:6003,D1 backup,"backup; D1; z=0.227; r=18.7; line Hb at 5963 A (R); trend fading; last spectrum 21.7 yr ago; exposure model 17 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.82, P(continuum dimmed) = 0.19; optical fainter by 0.79 mag since the 1872-53386-531 spectrum (ZTF vs synthetic); W1 faded 0.36 mag 2014-24; W1-W2 bluer by 0.17; W1 amplitude 0.43 mag; manifold prior P_hb 0.15, direction turn-off-like; oct26: x1.0 moon, 17 min + 5 overhead -> yield/h 2.239"
P19251,09:08:10.3,+50:09:23,SET 1.3,SNR 7,2,3,2,PA,2.0,17.41,AB,r,R,7166:7246,D1 backup,"backup; D1; z=0.098; r=17.4; line Ha at 7207 A (R); trend fading; last spectrum 24.8 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.48, P(continuum dimmed) = 0.06; optical fainter by 0.45 mag since the 766-52247-306 spectrum (ZTF vs synthetic); W1 brightened 0.13 mag 2014-24; W1-W2 bluer by 0.10; W1 amplitude 0.67 mag; manifold prior P_hb 0.22, direction turn-off-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 2.231"
P17694,08:46:35.2,+46:50:39,SET 1.3,SNR 7,2,3,2,PA,2.0,18.44,AB,r,R,7486:7566,D1 backup,"backup; D1; z=0.147; r=18.4; line Ha at 7526 A (R); trend fading; last spectrum 24.8 yr ago; exposure model 10 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.55, P(continuum dimmed) = 0.08; optical fainter by 0.53 mag since the 763-52235-441 spectrum (ZTF vs synthetic); W1 faded 0.18 mag 2014-24; W1-W2 bluer by 0.17; W1 amplitude 0.73 mag; manifold prior P_hb 0.23, direction turn-off-like; oct26: x1.0 moon, 10 min + 5 overhead -> yield/h 2.192"
P22832,10:08:54.9,+37:39:30,SET 1.3,SNR 7,2,3,2,PA,2.0,16.16,AB,r,R,6874:6954,D1 backup,"backup; D1; z=0.053; r=16.2; line Ha at 6914 A (R); trend fading; last spectrum 22.7 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.47, P(continuum dimmed) = 0.04; optical fainter by 0.37 mag since the 1426-52993-551 spectrum (ZTF vs synthetic); W1 faded 0.26 mag 2014-24; W1 amplitude 0.64 mag; manifold prior P_hb 0.17, direction neutral; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 2.187"
P19406,09:04:21.4,+17:09:33,SET 1.3,SNR 7,2,3,2,PA,2.0,16.87,AB,r,R,7004:7084,D1 backup,"backup; D1; z=0.073; r=16.9; line Ha at 7044 A (R); trend fading; last spectrum 20.4 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.47, P(continuum dimmed) = 0.02; optical fainter by 0.41 mag since the 2435-53828-435 spectrum (ZTF vs synthetic); W1 faded 0.34 mag 2014-24; W1-W2 bluer by 0.14; manifold prior P_hb 0.09, direction neutral; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 2.169"
P15296,08:02:20.7,+13:51:19,SET 1.3,SNR 7,2,3,2,PA,2.0,17.97,AB,r,R,7260:7340,D1 backup,"backup; D1; z=0.112; r=18.0; line Ha at 7300 A (R); trend fading; last spectrum 20.8 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.46, P(continuum dimmed) = 0.03; optical fainter by 0.32 mag since the 2268-53682-355 spectrum (ZTF vs synthetic); W1 faded 0.33 mag 2014-24; manifold prior P_hb 0.11, direction turn-off-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 2.107"
P18204,08:42:20.6,+13:15:48,SET 1.3,SNR 7,2,3,2,PA,2.0,18.27,AB,r,G,5719:5799,D1 backup,"backup; D1; z=0.185; r=18.3; line Hb at 5760 A (G); trend fading (IR); last spectrum 2.7 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.45, P(continuum dimmed) = 0.08; optical fainter by 0.18 mag since the 2428-53801-387 spectrum (ZTF vs synthetic); W1 faded 0.33 mag 2014-24; W1-W2 bluer by 0.22; W1 amplitude 0.63 mag; manifold prior P_hb 0.20, direction neutral; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 2.07"
P21105,09:41:47.3,+10:38:53,SET 1.3,SNR 7,2,3,2,PA,2.0,18.27,AB,r,R,7293:7373,D1 backup,"backup; D1; z=0.117; r=18.3; line Ha at 7334 A (R); trend fading; last spectrum 23.4 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.45, P(continuum dimmed) = 0.04; optical fainter by 0.26 mag since the 1305-52757-323 spectrum (ZTF vs synthetic); W1 faded 0.35 mag 2014-24; W1 amplitude 0.93 mag; manifold prior P_hb 0.25, direction turn-on-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 2.057"
P25893,10:49:25.9,+57:54:22,SET 1.3,SNR 7,2,3,2,PA,2.0,16.99,AB,r,R,6993:7073,D1 backup,"backup; D1; z=0.072; r=17.0; line Ha at 7033 A (R); trend fading; last spectrum 24.3 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.44, P(continuum dimmed) = 0.04; optical fainter by 0.28 mag since the 949-52427-186 spectrum (ZTF vs synthetic); W1 faded 0.38 mag 2014-24; W1-W2 bluer by 0.31; W1 amplitude 0.70 mag; manifold prior P_hb 0.20, direction neutral; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 2.039"
P22560,10:23:59.2,+46:27:17,SET 1.3,SNR 7,2,3,2,PA,2.0,18.82,AB,r,R,5899:5979,D1 backup,"backup; D1; z=0.222; r=18.8; line Hb at 5940 A (R); trend fading; last spectrum 23.8 yr ago; exposure model 20 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.84, P(continuum dimmed) = 0.53; optical fainter by 0.43 mag since the 961-52615-320 spectrum (ZTF vs synthetic); W1 faded 0.50 mag 2014-24; W1-W2 bluer by 0.16; W1 amplitude 0.79 mag; manifold prior P_hb 0.16, direction neutral; oct26: x1.0 moon, 20 min + 5 overhead -> yield/h 2.027"
P24941,10:34:32.5,+44:49:13,SET 1.3,SNR 7,2,3,2,PA,2.0,18.18,AB,r,G,5719:5799,D1 backup,"backup; D1; z=0.185; r=18.2; line Hb at 5759 A (G); trend fading; last spectrum 22.7 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.43, P(continuum dimmed) = 0.04; optical fainter by 0.21 mag since the 1431-52992-354 spectrum (ZTF vs synthetic); W1 faded 0.49 mag 2014-24; W1-W2 bluer by 0.09; W1 amplitude 0.47 mag; manifold prior P_hb 0.09, direction turn-on-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 1.99"
P23052,10:25:31.3,+51:40:35,SET 1.3,SNR 7,2,3,2,PA,2.0,15.9,AB,r,R,6815:6895,D1 backup,"backup; D1; z=0.045; r=15.9; line Ha at 6856 A (R); trend fading; last spectrum 23.5 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.43, P(continuum dimmed) = 0.03; optical fainter by 0.30 mag since the 1008-52707-558 spectrum (ZTF vs synthetic); W1 faded 0.37 mag 2014-24; W1 amplitude 0.51 mag; manifold prior P_hb 0.17, direction turn-off-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 1.968"
P23472,10:29:23.0,+65:03:00,SET 1.3,SNR 7,2,3,2,PA,2.0,18.52,AB,r,R,5801:5881,D1 backup,"backup; D1; z=0.202; r=18.5; line Hb at 5841 A (R); trend fading; last spectrum 25.6 yr ago; exposure model 11 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.52, P(continuum dimmed) = 0.06; optical fainter by 0.44 mag since the 489-51930-223 spectrum (ZTF vs synthetic); W1 faded 0.13 mag 2014-24; W1 amplitude 0.48 mag; manifold prior P_hb 0.11, direction neutral; oct26: x1.0 moon, 11 min + 5 overhead -> yield/h 1.963"
P21833,09:53:41.6,+29:31:50,SET 1.3,SNR 7,2,3,2,PA,2.0,18.31,AB,r,R,6038:6118,B backup,"backup; B; z=0.251; r=18.3; line Hb at 6079 A (R); trend flat/unknown; last spectrum 8.6 yr ago; exposure model 8 min; DR16 quasar; WHY: BLIND manifold stratum (W1 manifold, Hemmati+2026): literature-CLAGN region, 28% of the 50 nearest training objects are literature CLAGNs, archival SDSS spectrum as baseline, no photometric trigger; optical brighter by 0.05 mag since the 10447-58143-309 spectrum (ZTF vs synthetic); W1 faded 0.11 mag 2014-24; W1-W2 bluer by 0.08; log Edd -0.95; manifold prior P_hb 0.11 (literature corner), direction turn-on-like; oct26: x1.0 moon, 8 min + 5 overhe"
G191-B2B,05:05:30.6,+52:49:52,SET 3.0,SET 60,2,3,2,PA,2.0,11.69,Vega,V,R,6000:7000,std end of night 05:24,"spectrophotometric standard, CALSPEC g191b2b · DA.8 V=11.7 · 2 x 30-120 s; wide slit, keep counts < 50k and > 1k; same binning as science"
