WAVE_VAC_HELIO_A,FLUX,FLUX_ERR,FLUX_UNCORR,ERR_UNCORR,TELLURIC,TELLURIC_ERR,FLUX_ALTSTD,MASK,QUALITY,CHANNEL
3241.725279424444,63.06462362817254,7.336327914117986,63.06462362817254,7.336327914117986,1.0,0.0,39.73932328810922,False,2,U
3242.75260477877,78.41566118415577,7.488050133134436,78.41566118415577,7.488050133134436,1.0,0.0,49.626493864609316,False,2,U
3243.77985520681,71.79272043859717,7.221386459208702,71.79272043859717,7.221386459208702,1.0,0.0,45.62364623153356,False,2,U
3244.8071625502403,78.00350252956896,7.381697509098016,78.00350252956896,7.381697509098016,1.0,0.0,49.766294707497345,False,2,U
3245.834477672959,80.19677975793762,7.378502970361883,80.19677975793762,7.378502970361883,1.0,0.0,51.35677615185769,False,2,U
3246.8618070501416,56.88431045727399,6.894416827382232,56.88431045727399,6.894416827382232,1.0,0.0,36.55576126177553,False,2,U
3247.88924550001,55.12759744178758,6.614348205165308,55.12759744178758,6.614348205165308,1.0,0.0,35.542888118145115,False,2,U
3248.91653006842,52.5654300551808,6.40877049354369,52.5654300551808,6.40877049354369,1.0,0.0,33.99354858053976,False,2,U
3249.9440076130318,76.57082428674119,6.774112584533953,76.57082428674119,6.774112584533953,1.0,0.0,49.654640495564884,False,2,U
3250.9714738040384,65.41572643145517,6.653542096599604,65.41572643145517,6.653542096599604,1.0,0.0,42.526641981547094,False,2,U
3251.998822234335,63.5499421614424,6.593622618582488,63.5499421614424,6.593622618582488,1.0,0.0,41.405060798080186,False,2,U
3253.026200155586,63.831076308972,6.692249238355757,63.831076308972,6.692249238355757,1.0,0.0,41.66790937448022,False,2,U
3254.0536488516677,49.46713224564134,6.497294394869699,49.46713224564134,6.497294394869699,1.0,0.0,32.343303288357006,False,2,U
3255.0813259172805,57.49770128631644,6.700812651680347,57.49770128631644,6.700812651680347,1.0,0.0,37.642448755095,False,2,U
3256.1088140484935,63.4567653834434,7.0471426925375855,63.4567653834434,7.0471426925375855,1.0,0.0,41.58353317759701,False,2,U
3257.136363274818,51.70545706305046,6.999159216562234,51.70545706305046,6.999159216562234,1.0,0.0,33.90370685175509,False,2,U
3258.163845351706,56.34648702536749,7.007488545484558,56.34648702536749,7.007488545484558,1.0,0.0,36.95651883085287,False,2,U
3259.1915153035525,56.590275768457666,7.081593131239351,56.590275768457666,7.081593131239351,1.0,0.0,37.11251479880431,False,2,U
3260.2190438893563,72.92096061958864,7.378061668412003,72.92096061958864,7.378061668412003,1.0,0.0,47.799249535703055,False,2,U
3261.2467662757854,67.25676116641388,7.286947966711843,67.25676116641388,7.286947966711843,1.0,0.0,44.047910692481324,False,2,U
3262.2746549393437,64.1576936782124,7.17308630373393,64.1576936782124,7.17308630373393,1.0,0.0,41.964897284418925,False,2,U
3263.301941930444,54.753297765804795,7.131494014449286,54.753297765804795,7.131494014449286,1.0,0.0,35.75451944307992,False,2,U
3264.3298464438512,74.38777580333999,7.147684698091244,74.38777580333999,7.147684698091244,1.0,0.0,48.47978075041334,False,2,U
3265.357513911491,67.25164387354252,6.974658202557779,67.25164387354252,6.974658202557779,1.0,0.0,43.73001780548207,False,2,U
3266.385187674679,63.06402441416275,7.027527427639701,63.06402441416275,7.027527427639701,1.0,0.0,40.90522236640768,False,2,U
3267.413036751728,69.68226176769825,7.261244764669393,69.68226176769825,7.261244764669393,1.0,0.0,45.07809558693402,False,2,U
3268.440849349497,80.99758528528476,7.485656696638246,80.99758528528476,7.485656696638246,1.0,0.0,52.253013083262715,False,2,U
3269.468520844565,63.35777534031865,7.2327147716722955,63.35777534031865,7.2327147716722955,1.0,0.0,40.7575888835129,False,2,U
3270.496374988619,69.202311110567,7.035980492154857,69.202311110567,7.035980492154857,1.0,0.0,44.3910029596562,False,2,U
3271.5240333165,71.70368430991027,6.861406944361141,71.70368430991027,6.861406944361141,1.0,0.0,45.86718529509111,False,2,U
3272.551905611078,59.14133122110789,6.779821679582253,59.14133122110789,6.779821679582253,1.0,0.0,37.72954024119779,False,2,U
3273.5799331500757,63.651614906235615,6.958989767239877,63.651614906235615,6.958989767239877,1.0,0.0,40.50389287416928,False,2,U
3274.6077546709203,86.39226507404899,7.20578393507718,86.39226507404899,7.20578393507718,1.0,0.0,54.84666582851542,False,2,U
3275.635713931379,78.55312172385543,7.127015219780867,78.55312172385543,7.127015219780867,1.0,0.0,49.76695621322572,False,2,U
3276.663497459642,72.81322807386852,6.968736427174053,72.81322807386852,6.968736427174053,1.0,0.0,46.04985181126642,False,2,U
3277.691425471812,82.74114519987018,7.000380219770457,82.74114519987018,7.000380219770457,1.0,0.0,52.25660099572113,False,2,U
3278.7193612458727,60.72230869920178,6.565004261793372,60.72230869920178,6.565004261793372,1.0,0.0,38.31374683987079,False,2,U
3279.7473562029045,57.134587666273895,6.474235596376721,57.134587666273895,6.474235596376721,1.0,0.0,36.03302069940495,False,2,U
3280.7754121563635,55.32339111474202,6.576466690691884,55.32339111474202,6.576466690691884,1.0,0.0,34.892843890087164,False,2,U
