cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,clon,clat,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags,name
1,0.686151,-55.362091,358.06158333,0.85091666667,358.0614265,0.851025,23h52m14.74s,00d51m03.69s,56644.10823447,16.39,0.376,15.085,,10,0000,J235214.78+005103.3
1,0.717687,60.11456,358.06158333,0.85091666667,358.0617562,0.851016,23h52m14.82s,00d51m03.66s,57558.28404284,16.081,0.341,15.293,,5,0000,J235214.78+005103.3
1,0.733884,-65.03728,358.06158333,0.85091666667,358.0613985,0.8510027,23h52m14.74s,00d51m03.61s,59182.39055611,16.272,0.399,15.012,0.366,10,0000,J235214.78+005103.3
1,0.737528,86.772761,358.06158333,0.85091666667,358.0617879,0.8509282,23h52m14.83s,00d51m03.34s,59748.85983664,16.077,0.292,14.934,0.452,10,0000,J235214.78+005103.3
1,0.756506,-95.945441,358.06158333,0.85091666667,358.0613743,0.8508949,23h52m14.73s,00d51m03.22s,57558.15301229,15.944,0.319,15.177,,5,0000,J235214.78+005103.3
1,0.760718,-116.131048,358.06158333,0.85091666667,358.0613936,0.8508236,23h52m14.73s,00d51m02.96s,59020.05244711,15.56,0.159,14.656,,10,0000,J235214.78+005103.3
1,0.777342,-20.133707,358.06158333,0.85091666667,358.061509,0.8511194,23h52m14.76s,00d51m04.03s,56831.98873296,16.145,0.327,14.48,,10,0000,J235214.78+005103.3
1,0.794545,81.96936,358.06158333,0.85091666667,358.0618019,0.8509475,23h52m14.83s,00d51m03.41s,60116.12625826,15.978,0.258,14.889,,10,0000,J235214.78+005103.3
1,0.832495,-160.412614,358.06158333,0.85091666667,358.0615058,0.8506988,23h52m14.76s,00d51m02.52s,58653.50738163,16.251,0.343,14.996,0.504,5,0000,J235214.78+005103.3
1,0.835098,-116.103652,358.06158333,0.85091666667,358.061375,0.8508146,23h52m14.73s,00d51m02.93s,58289.06590868,16.112,0.337,15.06,0.418,5,0000,J235214.78+005103.3
1,0.83772,-71.448957,358.06158333,0.85091666667,358.0613627,0.8509907,23h52m14.73s,00d51m03.57s,59385.07668756,15.756,0.211,14.608,,5,0000,J235214.78+005103.3
1,0.843443,72.991384,358.06158333,0.85091666667,358.0618074,0.8509852,23h52m14.83s,00d51m03.55s,60480.33040984,15.582,0.285,14.562,,10,0000,J235214.78+005103.3
1,0.86167,-96.30035,358.06158333,0.85091666667,358.0613454,0.8508904,23h52m14.72s,00d51m03.21s,58653.11492655,16.238,0.294,15.132,0.52,10,0000,J235214.78+005103.3
1,0.864088,153.964086,358.06158333,0.85091666667,358.0616887,0.850701,23h52m14.81s,00d51m02.52s,58451.83985097,16.686,0.449,15.205,0.407,10,0000,J235214.78+005103.3
