cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,clon,clat,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags,name
1,0.014989,150.769015,136.24966667,-0.70191666667,136.2496687,-0.7019203,09h04m59.92s,-00d42m06.91s,58955.34291421,14.487,0.065,13.985,0.195,10,0000,J090459.92-004206.9
1,0.0332,113.879977,136.24966667,-0.70191666667,136.2496751,-0.7019204,09h04m59.92s,-00d42m06.91s,57503.80073376,14.675,0.08,15.215,0.503,10,0000,J090459.92-004206.9
1,0.041963,-22.530118,136.24966667,-0.70191666667,136.2496622,-0.7019059,09h04m59.92s,-00d42m06.86s,59529.18393444,14.911,0.127,14.577,0.26,10,0000,J090459.92-004206.9
1,0.055963,132.65598,136.24966667,-0.70191666667,136.2496781,-0.7019272,09h04m59.92s,-00d42m06.94s,59893.69808904,14.657,0.128,14.484,0.224,5,0000,J090459.92-004206.9
1,0.06066,-115.045931,136.24966667,-0.70191666667,136.2496514,-0.7019238,09h04m59.92s,-00d42m06.93s,57338.44648412,14.583,0.078,14.106,0.15,10,0000,J090459.92-004206.9
1,0.062035,90.110832,136.24966667,-0.70191666667,136.2496839,-0.7019167,09h04m59.92s,-00d42m06.90s,56976.55978559,14.81,0.095,14.284,0.259,10,0000,J090459.92-004206.9
1,0.064923,138.148738,136.24966667,-0.70191666667,136.2496787,-0.7019301,09h04m59.92s,-00d42m06.95s,60260.51604595,14.887,0.108,14.164,0.187,5,0000,J090459.92-004206.9
1,0.065043,93.596384,136.24966667,-0.70191666667,136.2496847,-0.7019178,09h04m59.92s,-00d42m06.90s,60418.91136425,14.699,0.097,14.254,,10,0000,J090459.92-004206.9
1,0.077228,19.137461,136.24966667,-0.70191666667,136.2496737,-0.7018964,09h04m59.92s,-00d42m06.83s,56785.69601562,14.404,0.068,14.055,0.228,10,0000,J090459.92-004206.9
1,0.077519,-42.927825,136.24966667,-0.70191666667,136.249652,-0.7019009,09h04m59.92s,-00d42m06.84s,57338.24974644,14.656,0.113,13.841,0.156,10,0000,J090459.92-004206.9
1,0.081162,152.148545,136.24966667,-0.70191666667,136.2496772,-0.7019366,09h04m59.92s,-00d42m06.97s,59529.38054422,14.723,0.081,14.326,0.207,10,0000,J090459.92-004206.9
1,0.081904,-166.616248,136.24966667,-0.70191666667,136.2496614,-0.7019388,09h04m59.92s,-00d42m06.98s,58434.01176466,14.78,0.083,14.546,0.254,10,0000,J090459.92-004206.9
1,0.08376,0.082079,136.24966667,-0.70191666667,136.2496667,-0.7018934,09h04m59.92s,-00d42m06.82s,59687.15443763,14.612,0.075,14.208,0.165,10,0000,J090459.92-004206.9
1,0.084628,-60.525344,136.24966667,-0.70191666667,136.2496462,-0.7019051,09h04m59.92s,-00d42m06.86s,58955.47369023,14.574,0.08,14.033,0.185,10,0000,J090459.92-004206.9
1,0.094371,-100.62491,136.24966667,-0.70191666667,136.2496409,-0.7019215,09h04m59.91s,-00d42m06.92s,59893.56782231,14.747,0.087,14.074,0.172,10,0000,J090459.92-004206.9
1,0.095692,151.37988,136.24966667,-0.70191666667,136.2496794,-0.70194,09h04m59.92s,-00d42m06.98s,57338.118588,14.516,0.075,14.011,0.139,10,0000,J090459.92-004206.9
1,0.096841,144.992552,136.24966667,-0.70191666667,136.2496821,-0.7019387,09h04m59.92s,-00d42m06.98s,56785.16960961,14.588,0.081,13.956,0.233,10,0000,J090459.92-004206.9
1,0.113684,138.72518,136.24966667,-0.70191666667,136.2496875,-0.7019404,09h04m59.92s,-00d42m06.99s,60415.12089506,14.843,0.116,14.406,0.214,10,0000,J090459.92-004206.9
1,0.113981,-69.541381,136.24966667,-0.70191666667,136.249637,-0.7019056,09h04m59.91s,-00d42m06.86s,56783.26106719,14.488,0.071,14.046,0.192,10,0000,J090459.92-004206.9
1,0.119347,162.021755,136.24966667,-0.70191666667,136.2496769,-0.7019482,09h04m59.92s,-00d42m07.01s,56785.89351676,14.543,0.079,13.746,0.161,10,0000,J090459.92-004206.9
1,0.119597,165.295532,136.24966667,-0.70191666667,136.2496751,-0.7019488,09h04m59.92s,-00d42m07.02s,59893.24209174,14.812,0.092,14.256,0.182,10,0000,J090459.92-004206.9
1,0.123216,44.1298,136.24966667,-0.70191666667,136.2496905,-0.7018921,09h04m59.93s,-00d42m06.81s,56782.66881804,14.656,0.079,13.984,0.145,10,0000,J090459.92-004206.9
1,0.12671,10.862188,136.24966667,-0.70191666667,136.2496733,-0.7018821,09h04m59.92s,-00d42m06.78s,57338.5776425,14.526,0.071,13.893,0.136,10,0000,J090459.92-004206.9
1,0.126909,9.523966,136.24966667,-0.70191666667,136.2496725,-0.7018819,09h04m59.92s,-00d42m06.77s,60051.75399637,14.778,0.085,14.303,0.197,10,0000,J090459.92-004206.9
1,0.127308,48.857668,136.24966667,-0.70191666667,136.2496933,-0.7018934,09h04m59.93s,-00d42m06.82s,57864.33338781,14.751,0.079,14.762,0.465,10,0000,J090459.92-004206.9
1,0.128063,165.456966,136.24966667,-0.70191666667,136.2496756,-0.7019511,09h04m59.92s,-00d42m07.02s,57503.21103071,14.669,0.092,14.216,0.171,10,0000,J090459.92-004206.9
