cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,clon,clat,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags,name
1,0.012966,160.732469,130.58383,7.9384406,130.5838312,7.9384372,08h42m20.12s,07d56m18.37s,56966.6309772,12.896,0.029,12.431,0.047,10,0000,P18234
1,0.014069,114.167908,130.58383,7.9384406,130.5838336,7.938439,08h42m20.12s,07d56m18.38s,58217.04878103,12.909,0.03,12.459,0.052,10,0000,P18234
1,0.015361,-159.624682,130.58383,7.9384406,130.5838285,7.9384366,08h42m20.12s,07d56m18.37s,58059.79690845,12.919,0.029,12.507,0.055,10,0000,P18234
1,0.02164,121.044662,130.58383,7.9384406,130.5838352,7.9384375,08h42m20.12s,07d56m18.38s,57134.44407503,12.919,0.029,12.539,0.059,10,0000,P18234
1,0.021946,-59.435386,130.58383,7.9384406,130.5838247,7.9384437,08h42m20.12s,07d56m18.40s,57495.61098115,12.887,0.036,12.536,0.061,10,0000,P18234
1,0.022307,-132.672271,130.58383,7.9384406,130.5838254,7.9384364,08h42m20.12s,07d56m18.37s,56775.23316485,12.899,0.03,12.537,0.049,10,0000,P18234
1,0.02241,103.943503,130.58383,7.9384406,130.5838361,7.9384391,08h42m20.12s,07d56m18.38s,58426.81258373,12.972,0.031,12.481,0.052,10,0000,P18234
1,0.024477,-141.216525,130.58383,7.9384406,130.5838257,7.9384353,08h42m20.12s,07d56m18.37s,59680.49682497,12.939,0.031,12.554,0.09,10,0000,P18234
1,0.024916,-159.912916,130.58383,7.9384406,130.5838276,7.9384341,08h42m20.12s,07d56m18.36s,57133.98463846,12.872,0.032,12.455,0.045,5,0000,P18234
1,0.025977,169.721457,130.58383,7.9384406,130.5838313,7.9384335,08h42m20.12s,07d56m18.36s,59521.73402475,13.013,0.032,12.575,0.054,10,0000,P18234
1,0.025992,-147.657295,130.58383,7.9384406,130.5838261,7.9384345,08h42m20.12s,07d56m18.36s,57134.31278925,12.96,0.03,12.434,0.049,10,0000,P18234
1,0.026912,-104.723971,130.58383,7.9384406,130.5838227,7.9384387,08h42m20.12s,07d56m18.38s,58426.68168039,12.941,0.029,12.435,0.052,10,0000,P18234
1,0.029657,-5.519131,130.58383,7.9384406,130.5838292,7.9384488,08h42m20.12s,07d56m18.42s,60408.18250946,13.011,0.034,12.463,0.042,10,0000,P18234
1,0.032599,-140.626627,130.58383,7.9384406,130.5838242,7.9384336,08h42m20.12s,07d56m18.36s,59522.45284742,12.969,0.032,12.448,0.059,10,0000,P18234
1,0.032985,-74.165774,130.58383,7.9384406,130.5838211,7.9384431,08h42m20.12s,07d56m18.40s,57330.90334038,12.979,0.032,12.444,0.051,10,0000,P18234
1,0.033144,128.25143,130.58383,7.9384406,130.5838373,7.9384349,08h42m20.12s,07d56m18.37s,56775.16733103,12.828,0.032,12.465,0.052,10,0000,P18234
1,0.034519,-55.724353,130.58383,7.9384406,130.583822,7.938446,08h42m20.12s,07d56m18.41s,57857.13203402,12.894,0.028,12.467,0.045,10,0000,P18234
1,0.035942,162.089752,130.58383,7.9384406,130.5838331,7.9384311,08h42m20.12s,07d56m18.35s,58059.46952253,12.879,0.029,12.525,0.055,10,0000,P18234
1,0.037311,37.704324,130.58383,7.9384406,130.5838364,7.9384488,08h42m20.12s,07d56m18.42s,59312.23077131,12.961,0.031,12.5,0.058,10,0000,P18234
1,0.038231,-98.665418,130.58383,7.9384406,130.5838194,7.938439,08h42m20.12s,07d56m18.38s,58060.18974606,12.85,0.031,12.407,0.046,10,0000,P18234
1,0.03975,73.694594,130.58383,7.9384406,130.5838407,7.9384437,08h42m20.12s,07d56m18.40s,58216.98332928,12.985,0.029,12.453,0.046,10,0000,P18234
1,0.042369,30.886709,130.58383,7.9384406,130.5838361,7.9384507,08h42m20.12s,07d56m18.42s,59154.89498409,13.05,0.035,12.501,0.047,10,0000,P18234
1,0.043827,-45.717736,130.58383,7.9384406,130.5838212,7.9384491,08h42m20.12s,07d56m18.42s,60250.04186273,12.968,0.031,12.511,0.055,10,0000,P18234
1,0.045793,-146.440001,130.58383,7.9384406,130.5838229,7.93843,08h42m20.12s,07d56m18.35s,60407.99010172,12.841,0.032,12.381,0.051,10,0000,P18234
1,0.045822,13.041421,130.58383,7.9384406,130.5838329,7.938453,08h42m20.12s,07d56m18.43s,56775.75958064,12.89,0.026,12.474,0.049,10,0000,P18234
1,0.047233,-148.609809,130.58383,7.9384406,130.5838231,7.9384294,08h42m20.12s,07d56m18.35s,57495.87304373,12.906,0.029,12.415,0.052,10,0000,P18234
1,0.048567,116.407239,130.58383,7.9384406,130.5838422,7.9384346,08h42m20.12s,07d56m18.36s,57695.85873399,12.925,0.032,12.532,0.053,10,0000,P18234
1,0.049783,172.178959,130.58383,7.9384406,130.5838319,7.9384269,08h42m20.12s,07d56m18.34s,57856.28077861,13.045,0.032,12.608,0.064,10,0000,P18234
1,0.050193,4.481585,130.58383,7.9384406,130.5838311,7.9384545,08h42m20.12s,07d56m18.44s,57328.21434172,12.939,0.03,12.391,0.06,10,0000,P18234
1,0.051607,31.673801,130.58383,7.9384406,130.5838376,7.9384528,08h42m20.12s,07d56m18.43s,56775.10149725,12.913,0.028,12.456,0.051,10,0000,P18234
1,0.053023,79.041074,130.58383,7.9384406,130.5838446,7.9384434,08h42m20.12s,07d56m18.40s,56966.89393008,12.868,0.029,12.392,0.052,10,0000,P18234
1,0.053209,-44.178565,130.58383,7.9384406,130.5838196,7.9384512,08h42m20.12s,07d56m18.42s,60250.04199005,13.029,0.039,12.474,0.051,10,0000,P18234
1,0.053515,15.852728,130.58383,7.9384406,130.5838341,7.9384549,08h42m20.12s,07d56m18.44s,57856.73919586,12.909,0.03,12.48,0.055,10,0000,P18234
1,0.05444,-110.516625,130.58383,7.9384406,130.5838157,7.9384353,08h42m20.12s,07d56m18.37s,59312.68829111,12.976,0.033,12.572,0.06,10,0000,P18234
1,0.055045,113.104235,130.58383,7.9384406,130.5838442,7.9384346,08h42m20.12s,07d56m18.36s,57133.59078115,12.895,0.032,12.415,0.056,10,0000,P18234
1,0.05664,156.241608,130.58383,7.9384406,130.5838364,7.9384262,08h42m20.12s,07d56m18.33s,56775.62791303,12.898,0.03,12.417,0.045,10,0000,P18234
1,0.057283,-158.454484,130.58383,7.9384406,130.5838241,7.9384258,08h42m20.12s,07d56m18.33s,57496.06965429,12.957,0.033,12.444,0.052,5,0000,P18234
1,0.057776,150.008628,130.58383,7.9384406,130.5838381,7.9384267,08h42m20.12s,07d56m18.34s,58217.70317191,12.889,0.028,12.323,0.048,10,0000,P18234
1,0.059146,28.047621,130.58383,7.9384406,130.5838378,7.9384551,08h42m20.12s,07d56m18.44s,58790.88117082,12.908,0.03,12.608,0.057,10,0000,P18234
1,0.062071,40.042142,130.58383,7.9384406,130.5838412,7.9384538,08h42m20.12s,07d56m18.43s,59154.76420802,12.978,0.036,12.526,0.049,10,0000,P18234
1,0.066312,74.249832,130.58383,7.9384406,130.5838479,7.9384456,08h42m20.12s,07d56m18.40s,57695.72770281,12.926,0.037,12.401,0.519,10,0000,P18234
1,0.067681,-0.301841,130.58383,7.9384406,130.5838299,7.9384594,08h42m20.12s,07d56m18.45s,57328.01760441,12.953,0.031,12.399,0.066,10,0000,P18234
1,0.068021,-51.353855,130.58383,7.9384406,130.5838151,7.9384524,08h42m20.12s,07d56m18.43s,56775.36470519,12.901,0.032,12.623,0.051,10,0000,P18234
1,0.069597,142.805464,130.58383,7.9384406,130.5838418,7.9384252,08h42m20.12s,07d56m18.33s,59522.12558862,13.046,0.035,12.462,0.048,10,0000,P18234
1,0.069724,56.46385,130.58383,7.9384406,130.5838463,7.9384513,08h42m20.12s,07d56m18.42s,59676.84133235,12.924,0.03,12.367,0.045,10,0000,P18234
1,0.070244,39.758772,130.58383,7.9384406,130.5838426,7.9384556,08h42m20.12s,07d56m18.44s,57496.00407501,12.904,0.03,12.508,0.057,10,0000,P18234
1,0.070377,4.067277,130.58383,7.9384406,130.5838314,7.9384601,08h42m20.12s,07d56m18.46s,57331.29681559,12.96,0.032,12.457,0.055,10,0000,P18234
