cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,clon,clat,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags,name
1,0.004749,46.97544,236.39404,57.606991,236.3940418,57.6069919,15h45m34.57s,57d36m25.17s,57559.57512154,13.872,0.048,12.991,0.067,10,0000,P1060
1,0.011787,86.497801,236.39404,57.606991,236.3940461,57.6069912,15h45m34.57s,57d36m25.17s,60312.42872572,13.843,0.054,13.019,0.064,10,0000,P1060
1,0.012303,-107.014397,236.39404,57.606991,236.3940339,57.60699,15h45m34.57s,57d36m25.16s,58648.45130598,14.124,0.063,13.326,0.106,10,0000,P1060
1,0.014152,95.839974,236.39404,57.606991,236.3940473,57.6069906,15h45m34.57s,57d36m25.17s,60107.93168306,13.841,0.049,13.232,0.087,10,0000,P1060
1,0.018656,131.003398,236.39404,57.606991,236.3940473,57.6069876,15h45m34.57s,57d36m25.16s,58645.37749748,14.082,0.053,13.234,,10,0000,P1060
1,0.021283,-115.0165,236.39404,57.606991,236.39403,57.6069885,15h45m34.57s,57d36m25.16s,59013.2321089,13.957,0.047,13.209,0.081,10,0000,P1060
1,0.022341,-53.400968,236.39404,57.606991,236.3940307,57.6069947,15h45m34.57s,57d36m25.18s,58853.66223311,13.937,0.064,13.09,0.073,10,0000,P1060
1,0.023276,160.643913,236.39404,57.606991,236.394044,57.6069849,15h45m34.57s,57d36m25.15s,59216.34523933,13.875,0.05,13.153,0.076,5,0000,P1060
1,0.024566,30.161898,236.39404,57.606991,236.3940464,57.6069969,15h45m34.57s,57d36m25.19s,57029.12221372,13.769,0.044,12.882,0.077,10,0000,P1060
1,0.025102,37.926949,236.39404,57.606991,236.394048,57.6069965,15h45m34.57s,57d36m25.19s,57028.20232211,13.796,0.043,12.953,0.064,10,0000,P1060
1,0.025376,146.824756,236.39404,57.606991,236.3940472,57.6069851,15h45m34.57s,57d36m25.15s,58489.54936068,14.061,0.052,13.196,0.095,10,0000,P1060
1,0.026059,-121.666307,236.39404,57.606991,236.3940285,57.6069872,15h45m34.57s,57d36m25.15s,57029.71357251,13.743,0.043,12.918,0.058,10,0000,P1060
1,0.027503,-137.140212,236.39404,57.606991,236.3940303,57.6069854,15h45m34.57s,57d36m25.15s,58281.12842934,14.126,0.053,13.223,0.093,10,0000,P1060
1,0.028009,112.680192,236.39404,57.606991,236.3940534,57.606988,15h45m34.57s,57d36m25.16s,57028.0709091,13.82,0.047,12.962,0.06,10,0000,P1060
1,0.028219,-154.929091,236.39404,57.606991,236.3940338,57.6069839,15h45m34.57s,57d36m25.14s,57035.16708356,13.719,0.044,12.967,0.066,10,0000,P1060
1,0.030601,-179.638891,236.39404,57.606991,236.3940399,57.6069825,15h45m34.57s,57d36m25.14s,59216.86834397,14.056,0.052,13.195,0.098,10,0000,P1060
1,0.031457,80.78038,236.39404,57.606991,236.3940561,57.6069924,15h45m34.57s,57d36m25.17s,59378.19497046,13.977,0.047,13.213,0.075,10,0000,P1060
1,0.034417,-6.43485,236.39404,57.606991,236.394038,57.6070005,15h45m34.57s,57d36m25.20s,58645.05036669,14.099,0.06,13.219,0.11,10,0000,P1060
1,0.036129,-35.206305,236.39404,57.606991,236.3940292,57.6069992,15h45m34.57s,57d36m25.20s,56662.90640978,13.749,0.041,12.829,0.054,10,0000,P1060
1,0.036634,-57.950302,236.39404,57.606991,236.3940239,57.6069964,15h45m34.57s,57d36m25.19s,60472.7023605,13.747,0.045,13.048,0.102,10,0000,P1060
1,0.037191,24.509902,236.39404,57.606991,236.394048,57.6070004,15h45m34.57s,57d36m25.20s,57027.87378943,13.765,0.041,12.895,0.058,10,0000,P1060
1,0.03888,179.715792,236.39404,57.606991,236.3940401,57.6069802,15h45m34.57s,57d36m25.13s,58645.44282181,14.161,0.061,13.581,0.115,10,0000,P1060
1,0.039757,-54.583414,236.39404,57.606991,236.3940232,57.6069974,15h45m34.57s,57d36m25.19s,60316.04296337,13.826,0.051,13.08,0.074,10,0000,P1060
1,0.039782,110.666235,236.39404,57.606991,236.3940593,57.6069871,15h45m34.57s,57d36m25.15s,59377.80340677,13.959,0.069,13.097,0.116,10,0000,P1060
1,0.040447,50.145948,236.39404,57.606991,236.3940561,57.6069982,15h45m34.57s,57d36m25.19s,57758.72446479,13.862,0.046,13.034,0.063,10,0000,P1060
1,0.041797,-50.404783,236.39404,57.606991,236.3940233,57.6069984,15h45m34.57s,57d36m25.19s,57757.47998332,13.895,0.057,13.059,0.07,10,0000,P1060
1,0.042115,57.416566,236.39404,57.606991,236.3940584,57.6069973,15h45m34.57s,57d36m25.19s,57028.59656138,13.768,0.046,12.897,0.058,5,0000,P1060
1,0.043215,-143.906963,236.39404,57.606991,236.3940268,57.6069813,15h45m34.57s,57d36m25.13s,59012.18577402,13.846,0.046,13.311,0.111,10,0000,P1060
1,0.043567,-59.181673,236.39404,57.606991,236.3940206,57.6069972,15h45m34.56s,57d36m25.19s,57203.36225727,13.73,0.043,12.702,0.05,10,0000,P1060
1,0.043733,125.764332,236.39404,57.606991,236.3940584,57.6069839,15h45m34.57s,57d36m25.14s,56663.89480856,13.779,0.043,12.825,0.063,10,0000,P1060
1,0.044745,79.336019,236.39404,57.606991,236.3940628,57.6069933,15h45m34.58s,57d36m25.18s,58122.75513714,14.127,0.052,13.067,0.08,10,0000,P1060
1,0.046934,-166.938099,236.39404,57.606991,236.3940345,57.6069783,15h45m34.57s,57d36m25.12s,58281.25971461,14.005,0.063,13.152,0.076,10,0000,P1060
1,0.047008,-34.199058,236.39404,57.606991,236.3940263,57.6070018,15h45m34.57s,57d36m25.21s,58120.59497644,13.908,0.059,13.198,0.074,10,0000,P1060
1,0.047779,-44.291831,236.39404,57.606991,236.3940227,57.6070005,15h45m34.57s,57d36m25.20s,57922.35835284,13.859,0.046,13.129,0.078,10,0000,P1060
1,0.048043,25.948276,236.39404,57.606991,236.3940509,57.607003,15h45m34.57s,57d36m25.21s,59378.12964624,14.046,0.051,13.251,0.074,10,0000,P1060
1,0.048094,-96.015304,236.39404,57.606991,236.3940152,57.6069896,15h45m34.56s,57d36m25.16s,56663.82897479,13.745,0.042,12.912,0.062,10,0000,P1060
1,0.049879,22.506608,236.39404,57.606991,236.3940499,57.6070038,15h45m34.57s,57d36m25.21s,57029.25362677,13.73,0.04,12.865,0.059,10,0000,P1060
1,0.050169,54.966342,236.39404,57.606991,236.3940613,57.606999,15h45m34.57s,57d36m25.20s,57393.44547583,13.815,0.048,13.05,0.081,10,0000,P1060
1,0.050196,59.389044,236.39404,57.606991,236.3940624,57.6069981,15h45m34.57s,57d36m25.19s,58649.62879858,14.24,0.056,13.458,0.105,5,0000,P1060
1,0.050795,-13.839497,236.39404,57.606991,236.3940337,57.6070047,15h45m34.57s,57d36m25.22s,59744.20844613,13.873,0.046,13.162,0.076,10,0000,P1060
1,0.052481,65.695819,236.39404,57.606991,236.3940648,57.606997,15h45m34.58s,57d36m25.19s,57559.70615213,13.809,0.047,12.931,0.062,10,0000,P1060
1,0.05357,-113.358913,236.39404,57.606991,236.3940145,57.6069851,15h45m34.56s,57d36m25.15s,58122.23152596,13.978,0.05,13.254,0.125,10,0000,P1060
1,0.054061,61.78364,236.39404,57.606991,236.3940647,57.6069981,15h45m34.58s,57d36m25.19s,57392.39633405,13.793,0.043,12.977,0.066,10,0000,P1060
