cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,clon,clat,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags,name
1,0.012281,-60.109699,160.06012,47.76521,160.0601156,47.7652117,10h40m14.43s,47d45m54.76s,56978.98252008,14.295,0.06,13.383,0.082,10,0000,P25055
1,0.015065,55.004028,160.06012,47.76521,160.0601251,47.7652124,10h40m14.43s,47d45m54.76s,59531.46150101,14.447,0.07,13.354,0.094,10,0000,P25055
1,0.019254,147.287525,160.06012,47.76521,160.0601243,47.7652055,10h40m14.43s,47d45m54.74s,60053.12797304,14.333,0.066,13.222,0.137,10,0000,P25055
1,0.020482,-97.067267,160.06012,47.76521,160.0601116,47.7652093,10h40m14.43s,47d45m54.75s,60420.46247441,14.265,0.059,13.506,0.108,10,0000,P25055
1,0.025911,-113.761161,160.06012,47.76521,160.0601102,47.7652071,10h40m14.43s,47d45m54.75s,60053.32280065,14.215,0.072,13.758,0.126,10,0000,P25055
1,0.026967,167.036607,160.06012,47.76521,160.0601225,47.7652027,10h40m14.43s,47d45m54.73s,59322.04406723,14.104,0.072,13.4,0.179,10,0000,P25055
1,0.039601,-31.291796,160.06012,47.76521,160.0601115,47.7652194,10h40m14.43s,47d45m54.79s,57147.18578225,14.269,0.079,13.44,0.091,5,0000,P25055
1,0.043622,7.971602,160.06012,47.76521,160.0601225,47.765222,10h40m14.43s,47d45m54.80s,57146.85764568,14.228,0.059,13.398,0.09,10,0000,P25055
1,0.04505,79.409068,160.06012,47.76521,160.0601383,47.7652123,10h40m14.43s,47d45m54.76s,59531.26540062,14.332,0.064,13.424,0.093,10,0000,P25055
1,0.046841,-76.216654,160.06012,47.76521,160.0601012,47.7652131,10h40m14.42s,47d45m54.77s,58436.09565444,14.319,0.06,13.413,0.114,10,0000,P25055
1,0.050041,-118.346952,160.06012,47.76521,160.0601018,47.7652034,10h40m14.42s,47d45m54.73s,57866.37283543,14.391,0.064,13.586,0.105,10,0000,P25055
1,0.052047,-27.705441,160.06012,47.76521,160.06011,47.7652228,10h40m14.43s,47d45m54.80s,59531.59214971,14.395,0.063,13.605,0.107,10,0000,P25055
1,0.055265,19.171243,160.06012,47.76521,160.0601275,47.7652245,10h40m14.43s,47d45m54.81s,56788.66706376,14.297,0.057,13.601,0.095,10,0000,P25055
1,0.057678,31.912413,160.06012,47.76521,160.0601326,47.7652236,10h40m14.43s,47d45m54.80s,58593.75803182,14.308,0.063,13.371,0.095,10,0000,P25055
1,0.06057,72.711857,160.06012,47.76521,160.0601439,47.765215,10h40m14.43s,47d45m54.77s,56978.71956698,14.384,0.065,13.452,0.098,10,0000,P25055
1,0.061699,130.805316,160.06012,47.76521,160.0601393,47.7651988,10h40m14.43s,47d45m54.72s,57505.7106736,14.189,0.053,13.438,0.106,10,0000,P25055
1,0.06382,-150.966101,160.06012,47.76521,160.0601072,47.7651945,10h40m14.43s,47d45m54.70s,58800.88076106,14.337,0.059,13.532,0.169,10,0000,P25055
