cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,clon,clat,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags,name
38,0.206367,-131.521121,146.6866,32.69539,146.686549,32.695352,09h46m44.77s,32d41m43.27s,60049.87614303,13.186,0.038,12.021,0.039,10,0000,P21417
38,0.207494,169.654043,146.6866,32.69539,146.6866123,32.6953333,09h46m44.79s,32d41m43.20s,58590.09146175,13.295,0.037,12.077,0.04,10,0000,P21417
38,0.208824,100.830812,146.6866,32.69539,146.6866677,32.6953791,09h46m44.80s,32d41m43.36s,60259.73469988,13.246,0.039,12.066,0.047,5,0000,P21417
38,0.208911,-104.367686,146.6866,32.69539,146.6865332,32.6953756,09h46m44.77s,32d41m43.35s,58068.95671115,13.33,0.043,12.306,0.071,10,0000,P21417
38,0.210249,163.508773,146.6866,32.69539,146.6866197,32.695334,09h46m44.79s,32d41m43.20s,59164.7645624,13.322,0.039,12.097,0.042,5,0000,P21417
38,0.210492,-177.195058,146.6866,32.69539,146.6865966,32.6953316,09h46m44.78s,32d41m43.19s,58065.74894058,13.923,0.051,12.774,0.071,0,0000,P21417
38,0.210821,-142.564376,146.6866,32.69539,146.6865577,32.6953435,09h46m44.77s,32d41m43.24s,57501.90683256,13.358,0.041,12.052,0.033,10,0000,P21417
38,0.210825,82.543338,146.6866,32.69539,146.686669,32.6953976,09h46m44.80s,32d41m43.43s,58432.63129399,13.399,0.038,12.092,0.041,10,0000,P21417
38,0.211077,30.919867,146.6866,32.69539,146.6866358,32.6954403,09h46m44.79s,32d41m43.59s,58796.63200495,13.305,0.034,12.121,0.038,10,0000,P21417
38,0.211116,119.750178,146.6866,32.69539,146.6866605,32.6953609,09h46m44.80s,32d41m43.30s,60259.67001226,13.16,0.036,11.979,0.039,10,0000,P21417
38,0.213002,34.77489,146.6866,32.69539,146.6866401,32.6954386,09h46m44.79s,32d41m43.58s,58433.08932865,13.412,0.038,12.162,0.039,10,0000,P21417
38,0.215031,64.196528,146.6866,32.69539,146.6866639,32.695416,09h46m44.80s,32d41m43.50s,58068.62932518,13.296,0.041,12.08,0.045,10,0000,P21417
38,0.21839,108.650523,146.6866,32.69539,146.6866683,32.6953706,09h46m44.80s,32d41m43.33s,58432.82764907,13.349,0.035,12.132,0.038,10,0000,P21417
38,0.220066,88.125077,146.6866,32.69539,146.6866726,32.695392,09h46m44.80s,32d41m43.41s,59319.49106397,13.258,0.033,12.091,0.041,5,0000,P21417
38,0.224086,151.494168,146.6866,32.69539,146.6866353,32.6953353,09h46m44.79s,32d41m43.21s,56784.8469351,13.41,0.036,12.172,0.041,0,0000,P21417
38,0.225052,157.606304,146.6866,32.69539,146.6866283,32.6953322,09h46m44.79s,32d41m43.20s,59318.90327236,13.295,0.033,12.07,0.041,5,0000,P21417
38,0.225367,64.247075,146.6866,32.69539,146.686667,32.6954172,09h46m44.80s,32d41m43.50s,58068.76022859,13.443,0.043,12.077,0.054,5,0000,P21417
38,0.227315,153.481951,146.6866,32.69539,146.6866335,32.6953335,09h46m44.79s,32d41m43.20s,56782.21447545,13.275,0.04,12.012,0.033,10,0000,P21417
38,0.227949,-100.832386,146.6866,32.69539,146.6865261,32.6953781,09h46m44.77s,32d41m43.36s,59685.72455951,13.173,0.037,12.014,0.034,10,0000,P21417
38,0.228259,96.884212,146.6866,32.69539,146.6866748,32.6953824,09h46m44.80s,32d41m43.38s,60259.21758069,13.225,0.036,11.918,0.034,10,0000,P21417
38,0.229497,-130.734702,146.6866,32.69539,146.6865426,32.6953484,09h46m44.77s,32d41m43.25s,56972.93752295,13.414,0.064,12.195,0.06,0,0000,P21417
38,0.229847,102.39073,146.6866,32.69539,146.6866741,32.6953763,09h46m44.80s,32d41m43.35s,57337.06282634,13.34,0.045,12.107,0.039,5,0000,P21417
