source_index,source_label,spectrum_role,object_name,ra_deg,dec_deg,spectrum_type,measurement_method,estimator_definition,bandpass,wavelength_um,wavelength_half_width_um,flux_mjy,flux_err_mjy,flux_raw_mjy,background_subtracted_mjy,background_mean_mjy_sr,ab_mag,ab_mag_err,global_background_wavelength_um,global_background_flux_mjy_per_display_pixel,global_background_flux_err_mjy_per_display_pixel,global_background_surface_brightness_mjysr,global_background_surface_brightness_err_mjysr,global_background_selected_pixels,global_background_selection_method,variance_ap_mjy2,variance_bg_mjy2,covariance_aperture_background_mjy2,variance_measurement_mjy2,variance_calibration_mjy2,variance_total_mjy2,uncertainty_method,uncertainty_draws,is_binned,n_fluxes_combined,n_images,image_names,mjds,aperture_radius_pix,aperture_radius_arcsec,local_background,annulus_inner_radius_pix,annulus_outer_radius_pix,annulus_inner_arcsec,annulus_outer_arcsec,background_median_mjy_per_pix,flag_names,flag_values,annulus_flag_names,annulus_flag_values,mask_mode,n_aperture_pixels,n_annulus_pixels,aperture_valid_area_sr,annulus_valid_area_sr,aperture_coverage,annulus_coverage,annulus_asymmetry,incomplete_aperture,incomplete_annulus,asymmetric_annulus,saturated_or_nonlinear,aperture_centroid_dra_arcsec,aperture_centroid_ddec_arcsec,annulus_centroid_dra_arcsec,annulus_centroid_ddec_arcsec,plausible_gaia_match,gaia_source_id,gaia_match_sep_arcsec,gaia_parallax_mas,gaia_parallax_error_mas,gaia_pmra_masyr,gaia_pmdec_masyr,gaia_bp_rp,gaia_g_mag,gaia_bp_mag,gaia_rp_mag
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D3,2.38309,0.02953,5.7959,0.15283,7.7810,,,14.492,0.029,,,,,,,,0.0096380,0.00051112,0.00011392,0.0099213,0.013437,0.023358,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W01_1A_0301_1D3_spx_l2b-v22-2026-007.fits,61039.37432000,1.75,10.67,true,3.00,7.00,,,0.20965,SOURCE:19,2097152:19,,,mask_explicit_bits=499834615,18,157,,,0.9999999999999998,,,false,false,false,false,-0.170,-0.443,-3.333,-0.762,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D4,2.44384,0.02828,5.0026,0.13154,7.0233,,,14.652,0.029,,,,,,,,0.0068945,0.00031594,-0.000040952,0.0072924,0.010011,0.017303,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W26_2B_0486_4D4_spx_l2b-v25-2026-182.fits,61218.98590400,1.75,10.67,true,3.00,7.00,,,0.21410,SOURCE:16,2097152:16,,,mask_explicit_bits=499834615,16,155,,,1,,,false,false,false,false,-0.221,0.036,0.020,0.511,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D4,2.45531,0.03260,5.3374,0.13610,7.4765,,,14.582,0.028,,,,,,,,0.0070246,0.00033860,0.00011687,0.0071294,0.011395,0.018524,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W01_2A_0692_2D4_spx_l2b-v23-2026-008.fits,61044.94240200,1.75,10.68,true,3.00,7.00,,,0.22673,SOURCE:18,2097152:18,,,mask_explicit_bits=499834615,17,161,,,1,,,false,false,false,false,-0.576,0.115,-1.762,-0.762,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D4,2.47243,0.03511,5.4237,0.13599,7.3557,,,14.564,0.027,,,,,,,,0.0060923,0.00029432,-0.00016983,0.0067263,0.011767,0.018493,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2025W27_1A_0372_1D4_spx_l2b-v20-2025-258.fits,60857.93629800,1.75,10.68,true,3.00,7.00,,,0.20474,SOURCE:18,2097152:18,,,mask_explicit_bits=499834615,18,159,,,1.0000000000000002,,,false,false,false,false,-0.144,-0.025,-4.308,-6.454,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D4,2.50382,0.03627,5.7156,0.13766,7.6132,,,14.507,0.026,,,,,,,,0.0060680,0.00028876,0.00023660,0.0058835,0.013067,0.018951,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W27_2A_0059_1D4_spx_l2b-v25-2026-185.fits,61223.80070000,1.75,10.67,true,3.00,7.00,,,0.20125,SOURCE:17,2097152:17,,,mask_explicit_bits=499834615,17,162,,,1,,,false,false,false,false,0.136,-0.067,-3.274,1.556,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D4,2.51922,0.03648,5.5551,0.13554,7.4906,,,14.538,0.026,,,,,,,,0.0056804,0.00027300,-0.000036407,0.0060262,0.012344,0.018370,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W01_2A_0692_3D4_spx_l2b-v23-2026-008.fits,61044.94389500,1.75,10.67,true,3.00,7.00,,,0.20428,SOURCE:18,2097152:18,,,mask_explicit_bits=499834615,16,160,,,1.0000000000000002,,,false,false,false,false,-0.182,0.387,-2.542,-3.288,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D4,2.53934,0.03644,5.5087,0.13568,7.3398,,,14.547,0.027,,,,,,,,0.0058517,0.00023953,-0.000089261,0.0062697,0.012138,0.018408,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2025W27_1A_0372_2D4_spx_l2b-v20-2025-258.fits,60857.93779000,1.75,10.68,true,3.00,7.00,,,0.19371,SOURCE:21,2097152:21,,,mask_explicit_bits=499834615,21,154,,,1.0000000000000002,,,false,false,false,false,-0.051,-0.141,-1.964,1.217,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D4,2.57195,0.03695,6.0855,0.14549,7.8862,,,14.439,0.026,,,,,,,,0.0062909,0.00028028,0.00010817,0.0063549,0.014813,0.021168,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W27_2A_0059_2D4_spx_l2b-v25-2026-185.fits,61223.80219300,1.75,10.68,true,3.00,7.00,,,0.19094,SOURCE:21,2097152:21,,,mask_explicit_bits=499834615,21,155,,,1.0000000000000002,,,false,false,false,false,-0.204,0.005,4.033,-1.738,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D4,2.58726,0.03681,5.7535,0.13893,7.6533,,,14.500,0.026,,,,,,,,0.0057873,0.00023458,-0.000018974,0.0060598,0.013241,0.019301,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W01_2A_0692_4D4_spx_l2b-v23-2026-008.fits,61044.94538700,1.75,10.67,true,3.00,7.00,,,0.20137,SOURCE:19,2097152:19,,,mask_explicit_bits=499834615,18,146,,,1,,,false,false,false,false,0.008,0.134,-5.109,0.206,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D4,2.60824,0.03703,5.6977,0.13784,7.4626,,,14.511,0.026,,,,,,,,0.0057942,0.00030027,0.000040200,0.0060141,0.012985,0.018999,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2025W27_1A_0372_3D4_spx_l2b-v20-2025-258.fits,60857.93928200,1.75,10.68,true,3.00,7.00,,,0.18712,SOURCE:18,2097152:18,,,mask_explicit_bits=499834615,16,153,,,1,,,false,false,false,false,-0.090,0.160,-2.494,-2.134,false,,,,,,,,,,
