name,RA,DECL,slitwidth,exptime,nexp,binspect,binspat,slitangle,airmass_max,mag,magsystem,magfilter,channel,wrange,Note,Comment
BD+284211,21:51:11.0,+28:51:50,SET 3.0,SET 60,2,3,2,PA,2.0,10.58,Vega,V,R,6000:7000,std start of night 20:05,"spectrophotometric standard, CALSPEC bd_28d4211 · sdO2VIIIHe5 V=10.6 · 2 x 30-120 s; wide slit, keep counts < 50k and > 1k; same binning as science"
P472,15:54:46.3,+36:07:18,SET 1.3,SET 240,2,3,2,PA,2.0,18.17,AB,r,R,7528:7608,T1 #1 20:15 p3.5,"primary; T1; z=0.153; r=18.2; line Ha at 7569 A (R); trend mixed (IR vs optical); last spectrum 5.2 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 1417-53141-532"
P3178,16:43:31.9,+30:48:36,SET 1.3,SET 240,2,3,2,PA,2.0,17.95,AB,r,I,7730:7810,T1 #2 20:30 p3.5,"primary; T1; z=0.184; r=17.9; line Ha at 7771 A (I); trend fading; last spectrum 5.2 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 1342-52793-321"
P3274,16:32:33.2,+16:47:52,SET 1.3,SET 240,2,3,2,PA,2.0,17.59,AB,r,I,8731:8811,T1 #3 20:45 p2.6,"primary; T1; z=0.337; r=17.6; line Ha at 8771 A (I); trend fading; last spectrum 5.2 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 2207-53558-196"
P2911,16:24:47.8,+34:23:29,SET 1.3,SET 240,2,3,2,PA,2.0,17.9,AB,r,R,7511:7591,T1 #4 21:00 p3.0,"primary; T1; z=0.151; r=17.9; line Ha at 7552 A (R); trend brightening; last spectrum 5.3 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 1058-52520-327"
P803,15:36:12.1,+52:41:55,SET 1.3,SET 240,2,3,2,PA,2.0,17.59,AB,r,I,10203:10283,T1 #5 21:15 p2.8,"primary; T1; z=0.561; r=17.6; line Ha at 10243 A (I); trend flat/unknown; last spectrum 8.5 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 795-52378-528"
P3109,16:22:50.0,+43:00:21,SET 1.3,SET 240,2,3,2,PA,2.0,16.97,AB,r,R,7037:7117,T1 #6 21:30 p3.0,"primary; T1; z=0.078; r=17.0; line Ha at 7078 A (R); trend flat/unknown; last spectrum 5.4 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 815-52374-166; extended host in the WISE beam (unWISE own-flux fraction 74%)"
P1823,16:20:39.1,+43:08:15,SET 1.3,SET 450,2,3,2,PA,2.0,18.18,AB,r,I,7837:7917,T1 #7 21:45 p4.0,"primary; T1; z=0.620; r=18.2; line Hb at 7877 A (I); trend mixed (IR vs optical); last spectrum 3.2 yr ago; exposure model 15 min; DR16 QSO, SDSS spectrum 815-52374-431; also in the CLAGN region of the ZTF+W1 manifold"
P4529,17:13:22.6,+32:56:28,SET 1.3,SET 240,2,3,2,PA,2.0,17.06,AB,r,R,7189:7269,T1 #8 22:05 p2.9,"primary; T1; z=0.102; r=17.1; line Ha at 7230 A (R); trend brightening; last spectrum 4.3 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 976-52413-619; minor neighbour within 8"" (< 15% of the W1 flux)"
P4612,17:13:12.7,+31:01:00,SET 1.3,SET 270,2,3,2,PA,2.0,18.36,AB,r,I,8380:8460,T1 #9 22:20 p3.0,"primary; T1; z=0.283; r=18.4; line Ha at 8420 A (I); trend brightening; last spectrum 4.3 yr ago; exposure model 9 min; DR16 QSO, SDSS spectrum 978-52441-428; minor neighbour within 8"" (< 15% of the W1 flux)"
P4572,17:07:49.8,+45:07:20,SET 1.3,SET 270,2,3,2,PA,2.0,18.4,AB,r,I,8454:8534,T1 #10 22:35 p3.0,"primary; T1; z=0.294; r=18.4; line Ha at 8495 A (I); trend mixed (IR vs optical); last spectrum 8.9 yr ago; exposure model 9 min; DR16 QSO, SDSS spectrum 8535-58019-95"
P5554,21:51:47.6,-08:09:22,SET 1.3,SET 240,2,3,2,PA,2.0,17.67,AB,r,R,7315:7395,T1 #11 22:50 p1.8,"primary; T1; z=0.121; r=17.7; line Ha at 7356 A (R); trend fading; last spectrum 4.8 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 644-52173-157; also in the CLAGN region of the ZTF+W1 manifold"
P6406,22:42:31.8,+24:09:30,SET 1.3,SET 240,2,3,2,PA,2.0,17.45,AB,r,I,7954:8034,T1 #12 23:05 p1.4,"primary; T1; z=0.218; r=17.4; line Ha at 7994 A (I); trend fading; last spectrum 4.8 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 7653-57306-32; also in the CLAGN region of the ZTF+W1 manifold"
P4872,17:44:33.0,+53:51:20,SET 1.3,SET 240,2,3,2,PA,2.0,18.26,AB,r,I,7936:8016,T1 #13 23:20 p2.3,"primary; T1; z=0.215; r=18.3; line Ha at 7977 A (I); trend fading; last spectrum 3.6 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 362-51999-9"
