name,class_zeltyn,z,ra,dec,is_clagn,umap_x,umap_y,fvar_w1,mean_w1_mjy,projected,clagn_score,in_region_zeltyn,in_region_clagn,n_spec,n_sdss,n_desi,mjd_first,mjd_last,years_since_last_spec,class_change_flag,broadline_change_flag,last_class,last_subclass,r_nmgy_last_sdssv,mjd_last_sdssv,r_mag_last_sdssv
J142835.15+305639.6,CL-AGN,0.673064,217.1464583333333,30.944333333333333,True,9.875438,2.7360878,0.1623114199879939,0.0851599886519633,True,0.14,True,False,3,3,0,55652.0,59343.0,5.321735545422269,False,False,?,,,,
J012839.76+003342.5,CL-AGN,0.434354,22.165666666666667,0.5618055555555556,True,8.501214,2.2916136,0.0693855013467331,0.136293138869002,True,0.12,True,False,6,5,1,55501.0,59485.36234644,4.93196868316354,False,False,GALAXY,,3.575388,59222.0,21.116692054506537
J140219.42+554556.4,CL-AGN,0.76352,210.58091666666664,55.76566666666667,True,8.427039,2.3740876,0.068947793454308,0.1005826737939605,True,0.12,True,False,7,7,0,56487.0,59342.0,5.324473396209401,False,False,?,,1.33804,59312.0,22.183827258424202
J163110.02+384457.4,CL-AGN,0.583915,247.79174999999995,38.74927777777778,True,8.838112,2.1104722,0.0804213307319705,0.2581365741111312,True,0.12,True,False,14,13,1,52790.0,59689.45586456,4.3731910839301475,False,True,QSO,,4.497294,59312.0,20.86762180131357
J023128.98+011250.2,EVQ,0.600864,37.870749999999994,1.2139444444444445,False,8.229506,2.2003582,0.0644712749775313,0.1970718634790796,True,0.1,True,False,21,18,3,52641.0,59937.0,3.6954521778658007,True,True,?,,5.492918,59232.0,20.650492210535685
J075225.29+284728.5,CL-AGN,0.772837,118.10537499999998,28.79125,True,8.353112,2.331932,0.0658863997148555,0.1179350635082366,True,0.1,True,False,11,11,0,55535.0,59281.0,5.491482294224459,True,False,QSO,,0.6688424,59281.0,22.936690508545965
J080803.27+325145.6,CL-AGN,0.631568,122.01362499999998,32.86266666666667,True,7.908549,2.0490565,0.0597448159649855,0.1762379272121633,True,0.1,True,False,8,8,0,55505.0,59253.0,5.568142116264158,False,True,QSO,BROADLINE,3.020657,59253.0,21.299746466744352
J135726.62+553736.0,CL-AGN,2.363621,209.3609166666666,55.626666666666665,True,8.124115,2.0881727,0.0483037568299258,0.1409265463462164,True,0.1,True,False,7,7,0,57428.0,59342.0,5.324473396209401,False,False,?,,24.99109,59312.0,19.005537003675297
J135750.26+614309.0,CL-AGN,0.737404,209.45941666666664,61.719166666666666,True,9.590495,2.2471395,0.0981667298416037,0.2242385410621187,True,0.1,True,False,16,16,0,56419.0,60060.0,3.358696531048552,False,True,?,,4.143093,59309.0,20.956688294962387
J143438.23+034121.9,CL-AGN,0.331644,218.65929166666663,3.689416666666667,True,8.20766,2.1372218,0.0611799892466991,0.1021638734359368,True,0.1,True,False,12,11,1,55682.0,59375.0,5.2341243202340415,False,False,?,,6.506904,59315.0,20.466564001521675
J160541.37+335021.4,EVQ,0.831624,241.42237499999996,33.83927777777778,False,8.820967,1.7827672,0.0688250169257018,0.1609915957054615,True,0.1,True,False,3,3,0,58251.0,59376.0,5.231386469446909,False,False,?,,,,
J161003.12+543627.9,CL-AGN,0.267623,242.513,54.60775,True,9.452834,1.9497361,0.0643903811008014,0.2593800544528039,True,0.1,True,False,13,12,1,56430.0,59731.0,4.259449440015014,False,False,?,,,,
