name,visit,mjd,w1,w1err,w2,n
CLAGN_0008,315.0,56669.01284786,14.021,0.021208392418391796,13.1075,12
CLAGN_0008,316.0,56856.29926639,14.279,0.028574955110897398,13.4565,24
CLAGN_0008,317.0,57032.71505882,14.264,0.02871874476199531,13.522,11
CLAGN_0008,318.0,57219.620785955005,14.385000000000002,0.038676749206328895,13.646,12
CLAGN_0008,319.0,57392.47394722,14.068,0.03251833912315103,13.376000000000001,12
CLAGN_0008,320.0,57583.803553075006,13.970500000000001,0.023056332585422397,13.2895,12
CLAGN_0008,321.0,57751.69539579,13.971,0.028786242681136203,13.216,11
CLAGN_0008,322.0,57948.10859685,13.892,0.02833123390870929,13.115,15
CLAGN_0008,323.0,58112.45755628,13.962,0.02359135662160985,13.059,17
CLAGN_0008,324.0,58315.04561956,14.176,0.029912755516069083,13.481,13
CLAGN_0008,325.0,58475.85275105,14.184,0.02480319009098869,13.431,11
CLAGN_0008,326.0,58679.15103609,14.101,0.03316938376275971,13.36,13
CLAGN_0008,327.0,58840.0036999,14.2055,0.02288465399202917,13.4565,10
CLAGN_0008,328.0,59046.374556135,14.1715,0.03361875915663134,13.3975,12
CLAGN_0008,329.0,59204.16344648,14.059,0.02621766379577543,13.339,13
CLAGN_0008,330.0,59410.534972055,14.2005,0.050212981326255984,13.466000000000001,10
CLAGN_0008,331.0,59571.259270580005,14.2345,0.025595974204545104,13.483,10
CLAGN_0008,332.0,59774.72774863,14.1085,0.02632562903700393,13.363,12
CLAGN_0008,333.0,59935.49042839,14.148,0.023114933666490048,13.428,11
CLAGN_0008,334.0,60141.781575910005,13.971499999999999,0.028735638449439816,13.2365,14
CLAGN_0008,335.0,60302.53366378,14.09,0.027129489920990988,13.352,11
CLAGN_0008,336.0,60506.00867692,14.3655,0.04580756774196725,13.626000000000001,12
CLAGN_0015,315.0,56676.819052000006,13.372,0.021156530607468985,12.2585,10
CLAGN_0015,316.0,56866.036454985006,13.1735,0.010658587134214694,12.197,12
