Name,Class,z,ra,dec,is_clagn,umap_x,umap_y,fvar_w1,mean_w1_mjy,projected,clagn_score,in_region_zeltyn,in_region_clagn
J000719.90+253128.6,EVQ,0.559321,1.8329166666666663,25.52461111111111,False,12.566841,-3.6926134,0.09087354378345366,0.12830850945286287,True,0.04,False,False
J000750.51+005815.2,CL-AGN,0.345113,1.960458333333333,0.9708888888888889,True,16.532986,4.42347,0.25635609897610917,0.3242115172244042,True,0.1,False,False
J001103.49+010032.6,CL-AGN,0.485892,2.7645416666666662,1.0090555555555556,True,5.286042,-1.0331457,,0.07666272689075596,True,0.0,True,False
J001133.95-000001.1,EVQ,0.44707,2.8914583333333326,-0.0003055555555555556,False,9.187544,2.631984,0.08797343895153362,0.08525421854632739,True,0.14,True,False
J001333.96+014506.8,CL-AGN,0.881555,3.3914999999999997,1.7518888888888888,True,6.2607975,-4.583784,,0.11229607099736132,True,0.0,False,False
J002956.65+010537.2,EVQ,0.373015,7.486041666666666,1.0936666666666666,False,9.426523,3.2347085,0.10832733200596907,0.0928483939066942,True,0.18,True,False
J003242.74+003110.9,EVQ,0.360592,8.178083333333332,0.5196944444444445,False,13.590107,2.8710618,0.21953861098121497,0.4072738780156728,True,0.2,False,False
J003841.53+000226.7,CL-AGN,0.649649,9.673041666666665,0.04075,True,9.722786,3.5211596,0.14191040289542078,0.25013038553651173,True,0.22,True,False
J003849.27-011722.4,EVQ,0.500226,9.705291666666664,-1.2895555555555553,False,19.927412,5.376349,0.2784747521685063,0.32485863858180347,True,0.16,False,False
J004459.09-010629.3,CL-AGN,0.228215,11.24620833333333,-1.108138888888889,True,16.526667,6.4058537,0.3970021400136623,0.4496648235070415,True,0.08,False,False
J004616.68+000249.1,CL-AGN,0.4531,11.5695,0.04697222222222222,True,11.342975,0.049819212,0.07804286669929605,0.3812350520033938,True,0.04,False,False
J011536.11+003352.4,CL-AGN,0.364029,18.90045833333333,0.5645555555555556,True,15.005259,5.6664133,0.5259613493769087,0.30129905494485676,True,0.14,False,False
J011851.07-010417.3,CL-AGN,0.573171,19.712791666666664,-1.0714722222222222,True,7.9529104,-2.367199,0.021527799814220476,0.15290705151645395,True,0.0,False,False
J011943.50-010858.5,EVQ,0.497391,19.931249999999995,-1.1495833333333334,False,15.057566,0.32785946,0.21974104681059914,0.33997776636358706,True,0.08,False,False
J012025.45+142727.9,CL-AGN,0.263752,20.106041666666663,14.457749999999999,True,7.7496986,1.7996728,0.06301251100638221,0.3873539762802495,True,0.06,True,False
