name,n_ztf_g,n_ztf_r,mjd_first_ztf,mjd_last_ztf,r_first,r_last,g_last,dr_last_minus_first,r_at_ref,dr_since_ref,slope_r_2yr,r_amp
J144133.10+051633.5,134,240,58198.3956597,60900.2137384,20.6971865,20.38440705,20.5629292,-0.31277945000000074,20.4679585,-0.08355145000000164,0.10604194585423635,0.8280245549999989
J012150.93+145344.0,439,552,58294.4810185,60969.3368866,20.2017994,20.0437212,20.0997086,-0.1580781999999985,20.344717,-0.30099579999999904,-0.06154335589297775,0.6306145699999988
J080832.67+260130.3,51,627,58223.1626505,60969.5179167,20.6812687,20.5801754,20.922881099999998,-0.10109329999999872,20.6268673,-0.04669189999999901,-0.10957233423593286,0.7101940300000003
J141144.12+531508.6,0,0,,,,,,,,,,
J003841.53+000226.7,102,168,58283.4805787,60833.4751273,20.10121445,19.6614113,19.9490185,-0.4398031499999995,19.9205589,-0.2591475999999986,0.027266149630376265,0.9132944300000005
J012452.64+000958.9,337,424,58301.4421644,60969.3316551,19.411356,19.3038063,20.0102425,-0.10754969999999986,19.4437122,-0.1399058999999987,0.02419324512509689,0.38137773500000094
J002956.65+010537.2,121,223,58283.4640394,60969.3018981,20.6787052,20.4195843,20.9484558,-0.2591208999999992,20.592967,-0.17338270000000122,0.1833920480060931,0.815467469999998
J013309.79-000107.7,152,267,58312.442662,60969.3316551,20.6029053,20.4401035,20.9371033,-0.16280180000000044,20.4791441,-0.03904059999999987,0.2056609670446761,1.0400957299999973
J090624.60+505549.5,81,259,58218.2266204,60968.4848958,20.7635345,20.71657945,21.0171776,-0.046955049999997556,21.138687150000003,-0.42210770000000153,-0.16747527484589153,0.9312736499999978
J093614.70+012105.9,114,609,58202.2555903,60959.5299653,19.4424744,19.4261417,20.2668562,-0.016332699999999534,19.621533399999997,-0.19539169999999828,-0.052756186744308785,1.2924530000000019
J112256.45+435227.7,787,1150,58202.2839468,60969.5241551,20.0600758,19.5896759,19.7980995,-0.4703999000000003,19.8514538,-0.261777900000002,-0.20231187569614684,0.948694605
J153144.80+395542.2,32,53,58292.2874421,60483.3105903,18.6320152,18.78190615,18.76988315,0.14989094999999963,18.7166348,0.06527134999999973,0.02850238006840184,0.3871017400000021
J235042.15-010425.0,74,282,58288.4621759,60969.2311227,20.1081371,20.136837,21.10387995,0.028699899999999445,19.9395466,0.19729039999999998,0.20902145117454554,0.5959248750000015
J081352.60+243903.6,26,239,58432.4460532,60924.5083681,21.182064099999998,21.2005253,21.45633315,0.018461200000000844,21.2683887,-0.06786340000000024,-0.13963087366401453,0.6818620800000019
J092957.88+001508.7,21,59,58244.1929514,60760.2643171,21.0512085,21.0817261,21.675663,0.03051759999999959,20.8696709,0.21205520000000178,,0.9364111000000008
J135544.26+531805.2,1108,1002,58198.3699769,60859.2765625,18.44925595,18.2344246,18.2955589,-0.21483135000000075,18.6190252,-0.38460059999999885,,0.2601313750000003
J001133.95-000001.1,68,124,58283.4433449,60969.2794444,20.8260345,20.7543602,21.0757818,-0.07167429999999797,20.6201763,0.13418390000000002,-0.0712425047325641,0.8811190250000003
J015108.82+003517.2,179,135,58312.443125,60969.2957639,20.65814785,20.47951795,20.6819839,-0.17862989999999712,21.06446265,-0.5849446999999977,,1.2218864399999987
J015854.50+001307.3,54,73,58353.3889352,60378.1277199,19.23996355,19.1997108,19.9633837,-0.0402527500000005,19.276421550000002,-0.07671075000000371,-0.03799319249279764,0.35555880000000073
J081009.62+211625.8,0,64,58227.1601042,60705.2983102,21.285201100000002,21.0358047,,-0.24939640000000196,21.292839049999998,-0.25703434999999786,,1.0473739699999989
J142835.15+305639.6,144,192,58198.4143171,60852.3186111,21.007391,20.973203650000002,21.1582623,-0.034187349999996286,21.461921699999998,-0.4887180499999957,,0.983022639999998
J012839.76+003342.5,13,178,58321.443206,60969.2746875,20.6779766,20.7108269,21.0943127,0.03285029999999978,20.6766472,0.03417969999999926,0.21783477490255684,0.5531153400000015
J140219.42+554556.4,41,172,58198.3699769,60854.3282523,21.1500683,21.0007887,21.7743702,-0.14927959999999985,21.560091,-0.5593022999999988,,1.0000846400000007
J163110.02+384457.4,208,954,58198.3990741,60965.1249537,20.77445985,20.7880974,21.580368,0.013637550000002108,20.9370718,-0.14897439999999662,-0.05772874432145505,0.6919169299999979
J023128.98+011250.2,268,320,58314.4422338,60948.4212384,20.3254948,20.2245674,20.4482441,-0.10092739999999978,20.249187499999998,-0.02462009999999637,-0.08573853054802485,0.7204752150000004
J075225.29+284728.5,6,90,58432.365706,60369.3024537,21.3557329,21.32955935,21.2135582,-0.026173549999999324,,,,0.6612281550000034
J080803.27+325145.6,67,198,58372.5151389,60932.5123958,20.83600805,21.11193465,21.8369789,0.27592659999999825,21.0128136,0.09912104999999727,-0.0876722319789325,0.8634598199999992
J135726.62+553736.0,1116,1068,58198.3699769,60900.1785185,18.9479656,18.51964,18.6491356,-0.42832560000000086,18.9485817,-0.4289416999999993,-0.012090380898486052,0.559547809999998
J135750.26+614309.0,236,456,58198.3837269,60857.2431366,20.26463795,20.8035555,20.7980423,0.5389175500000007,20.2446098,0.5589457000000024,,0.9837789499999978
J143438.23+034121.9,50,324,58198.3956597,60860.29625,20.2320852,20.1717434,21.2034149,-0.06034179999999978,20.2519283,-0.080184899999999,-0.010541661417901494,0.5893624499999994
J160541.37+335021.4,1508,1559,58198.3941319,60960.1352431,19.6167145,19.49505045,19.7399578,-0.12166404999999969,19.321619050000002,0.17343139999999835,0.11841623174179709,0.5488633799999967
J161003.12+543627.9,1422,1666,58198.3922801,60948.156088,19.0651493,19.0144939,19.838544849999998,-0.05065540000000013,19.103308650000002,-0.08881475000000094,-0.055310551740826525,0.26558399999999693
J222515.86+212758.3,569,714,58262.4701157,60969.2818171,21.0758972,20.843766199999997,21.025307650000002,-0.23213100000000253,20.8107109,0.033055299999997345,0.0649393008705112,0.7188185949999983
J025515.09+003740.5,0,0,,,,,,,,,,
J012025.45+142727.9,277,765,58288.4645255,60969.300463,19.4497547,19.472185099999997,20.8861046,0.02243039999999752,19.4847813,-0.012596200000004387,0.039157140999778475,0.4989773200000016
J015957.64+003310.5,383,421,58312.443125,60969.3330671,19.1351871,19.09847165,20.00408365,-0.036715449999999095,19.140432349999998,-0.041960699999997075,0.02782982443082934,0.2889727999999998
J080838.73+273252.4,49,676,58223.1831481,60967.4479282,20.4926834,20.360054,20.9368649,-0.132629399999999,20.4887962,-0.1287421999999978,-0.01876626876658289,0.7456417000000037
J084528.72-002723.3,472,613,58204.1989815,60969.5193981,17.630420700000002,17.650548,18.7236824,0.020127299999998627,17.6731396,-0.02259159999999838,0.02644152308461579,0.2675434199999991
J084924.70+002049.7,79,194,58227.1651852,60968.4762731,20.356182099999998,20.4337807,20.99252985,0.07759860000000174,20.4636917,-0.029910999999998467,-0.025766086093668924,0.6560659449999982
J085321.89+010216.7,268,669,58218.190625,60969.5220023,19.5632582,19.6356621,20.5662632,0.07240390000000119,19.64243795,-0.006775850000000361,0.03853528554996628,0.4818745200000052
J161832.10+431129.6,322,1364,58198.3931944,60967.1192477,20.2670021,20.3310356,21.1672306,0.06403350000000074,20.2856293,0.04540629999999979,-0.0007310909880479943,0.4605867900000007
J081537.56+384303.2,11,13,58430.3742708,60554.5003819,20.9172878,20.814404500000002,20.940371550000002,-0.10288329999999846,,,,0.8026248999999979
J222210.54+203340.7,451,691,58244.4826389,60961.165544,20.6384373,21.04313755,21.4021063,0.4047002500000012,20.664856,0.3782815500000005,0.1641344938992748,0.8261765999999966
J001103.49+010032.6,135,213,58280.4464931,60965.3281597,20.5715446,20.90198235,21.1984596,0.33043775000000153,20.80218215,0.09980020000000067,,0.7908344400000011
J012524.66+001935.9,0,0,,,,,,,,,,
J022907.77+003755.0,33,251,58338.4969676,60968.3143981,20.5408497,20.5463886,21.0858727,0.0055389000000012345,20.5919781,-0.045589499999998395,0.03332076298846522,0.6988276999999989
J081314.19+215550.8,0,464,58223.1635764,60968.4641319,20.76202775,20.3184204,,-0.4436073500000006,20.9137106,-0.5952902000000009,-0.134221528721269,0.8694221549999988
J082537.64+320443.7,188,404,58206.1886343,60969.5174537,20.531456,20.9255724,20.9506168,0.3941164000000015,20.6060486,0.3195237999999989,-0.21514507026856902,0.9906280100000018
J090550.30+003948.1,25,106,58218.1915394,60951.5270718,19.2941008,19.30229185,20.7272215,0.008191050000000644,19.3871479,-0.08485604999999907,0.057618959782139455,0.5083985499999955
J113311.19+591357.9,543,743,58202.3289005,60817.2427546,20.7759304,20.749295250000003,20.9741726,-0.026635149999997054,20.3876381,0.36165715000000276,0.17440733825848997,0.8711147199999978
J233830.25+002501.8,21,43,58335.4326157,60262.2057176,19.7599907,19.6079979,20.9046326,-0.1519927999999986,,,-0.24563030102577652,0.4027029500000019
J122013.56+520206.3,520,865,58198.3732523,60850.3011921,19.7424412,20.0083408,20.838775650000002,0.2658996000000009,19.9898844,0.01845639999999804,0.021065254784419354,0.4846408800000006
J083000.36+343238.8,197,391,58217.2232176,60969.5174537,20.4872055,20.31948285,20.7479944,-0.16772265000000175,20.5346508,-0.21516795000000144,-0.16690144252994205,0.7681455499999998
J082039.62+391759.1,91,403,58234.1451273,60968.4752546,21.0393219,20.84563065,20.995472,-0.19369125000000054,20.846964800000002,-0.0013341500000016993,-0.14709263675358866,0.9838127899999982
J221003.68-005054.7,112,335,58276.4768403,60960.3526389,20.4277363,20.6230831,21.3556042,0.19534679999999938,20.4710941,0.15198900000000037,0.13289514528546195,0.7886473000000009
J093209.96+040319.9,144,645,58217.198831,60959.5299653,19.2542553,19.24083325,20.4072609,-0.013422049999999075,19.31910895,-0.07827569999999895,-0.042972004960279656,0.3299293000000034
J141634.37+515849.3,1043,996,58198.3699769,60859.2765625,19.709852249999997,19.5814648,19.806633,-0.12838744999999818,20.0716419,-0.49017710000000037,-0.36086399906928057,1.020000975000002
J081127.88+222045.3,452,1345,58205.1535069,60968.4641319,18.6323681,18.527548799999998,19.2430668,-0.10481930000000261,18.5699654,-0.0424166000000028,-0.007754960863307399,0.5656470800000015
J113025.21+304033.7,0,0,,,,,,,,,,
J133244.09+141943.5,362,405,58202.3351273,60859.2249653,19.47709945,19.49353885,19.6612453,0.016439399999999438,19.6167545,-0.12321564999999879,-0.0033065700560731847,0.4458366199999979
J073916.52+315814.3,408,1164,58204.205081,60948.4981713,20.0054693,19.576789849999997,19.632534,-0.4286794500000042,19.5575161,0.019273749999996426,0.05306787500446674,0.6558515300000032
J074314.98+383829.8,16,82,58429.3745023,60922.5115046,20.2718658,19.20107555,20.5290985,-1.0707902500000017,,,-0.42312928298601316,1.2316810899999986
J020428.59-031013.7,403,448,58312.443125,60969.2957639,19.1047211,18.8729229,19.077116,-0.23179820000000007,18.5336781,0.33924479999999946,-0.011530866064721538,0.8152865600000005
J213517.46+002020.4,279,368,58256.4887616,60969.2543287,19.756332399999998,19.8183308,20.7576904,0.06199840000000023,19.81616405,0.0021667499999971085,0.04265935789287355,0.4041075950000028
J142651.49+351924.5,19,26,58206.312037,60424.3940046,19.7450867,19.4864254,19.7096338,-0.2586613,19.4864254,0.0,-0.1102489864502894,0.4478931500000023
J092158.92+034235.7,268,786,58202.2649537,60968.5208796,18.8634844,18.80038835,19.4873695,-0.06309605000000218,18.706122399999998,0.09426595000000049,0.09390497182473057,0.38157794999999695
J142813.06+045247.6,169,418,58198.3956597,60900.2137384,19.7446442,19.816679,21.0124493,0.07203480000000084,19.63416575,0.18251324999999952,0.06753037988889467,0.4736397600000011
J135415.55+515925.9,5,401,58198.3699769,60859.230162,19.9539404,19.9168091,19.7136974,-0.0371313000000022,20.1370726,-0.2202635000000015,0.3056832969063731,0.6629160999999968
J015717.74+004108.4,465,568,58312.443125,60969.3330671,19.417345,19.2383251,19.677413,-0.17901990000000012,19.1663818,0.07194330000000093,0.10395881199984991,0.5295924149999998
J080711.72+194439.7,305,1117,58205.1535069,60968.4641319,19.02705,19.6258183,20.70649525,0.5987682999999997,19.6672058,-0.041387500000002575,0.049638896145850986,0.6925022599999977
J084637.65+000024.5,236,520,58218.1910764,60969.5193981,18.9702368,19.256004349999998,20.28013995,0.2857675499999992,19.3266506,-0.07064625000000291,0.026580759234310886,0.5592903250000028
J081338.47+215349.9,7,485,58223.1822222,60948.504838,20.6864166,20.4440155,21.4087791,-0.24240110000000215,20.6885071,-0.24449159999999992,-0.22124103109103727,0.6379440199999991
J121345.97+484419.4,745,729,58202.2964468,60853.2480903,18.565944700000003,18.87338355,18.94997785,0.30743884999999693,18.694250099999998,0.17913345000000191,-0.017903101954891507,0.7082260400000031
J162829.18+432948.6,1519,1739,58198.3931944,60969.1593056,18.8752174,18.8005867,19.3365135,-0.07463070000000016,18.7174435,0.08314319999999853,-0.04091020740709205,0.3720396000000008
J164348.61+390939.1,1743,1893,58198.4341551,60948.1613657,19.1428585,20.0810165,20.0078659,0.9381580000000014,19.682476,0.3985404999999993,0.3189097108728636,0.8134398800000007
J235439.15+005751.9,818,899,58270.465544,60969.3179977,18.0760574,18.8622837,19.19332505,0.7862262999999992,18.51328375,0.3489999499999996,0.18207508427490057,0.8847981699999998
J015105.80-003426.4,391,421,58301.4813542,60969.3330671,19.24763395,19.3157501,19.95348835,0.06811614999999804,19.5200367,-0.20428659999999965,-0.13595213446983137,0.8791140999999989
J022105.64-044101.5,515,524,58313.4658912,60951.4451736,17.728704450000002,17.8048477,18.91982555,0.07614324999999766,17.818560599999998,-0.01371289999999803,0.054370332163965175,0.31701882500000167
J092629.23-000605.7,203,576,58207.2647917,60968.5001852,19.3261147,19.4721107,20.1475124,0.14599600000000024,19.3423424,0.12976830000000206,-0.04221728633075548,0.3865766500000021
J143732.94+355947.1,371,899,58198.3781134,60923.1982755,19.58244895,19.6374588,20.9386835,0.05500985000000114,19.6013441,0.03611470000000239,0.040203077627156844,0.3730361799999997
J155829.36+271714.2,849,1023,58203.4195486,60957.1506134,16.9577179,17.1518097,17.9431076,0.19409180000000248,17.0872307,0.06457900000000194,-0.17727309949126618,0.7120652799999974
J222306.32+194431.6,242,1214,58244.4826389,60969.2660069,20.045756349999998,20.34122945,21.4164734,0.2954731000000024,20.366905250000002,-0.025675800000001914,-0.017226950361732538,0.6570702299999986
J003242.74+003110.9,422,491,58283.4805787,60969.3165856,19.1865463,18.9586296,19.1832333,-0.22791670000000153,19.4365234,-0.47789380000000037,-0.30352386053448777,0.7000588999999984
J020719.49-033600.7,33,43,58362.4152199,60295.2010301,20.0391159,20.1655884,20.378788,0.12647250000000199,,,0.08918386236919629,0.6629045199999979
J080709.93+205901.8,332,1137,58205.1535069,60968.4641319,18.9386425,19.5553894,20.39117525,0.616746899999999,19.513567,0.041822400000000926,-0.04098451789411147,0.8861255200000002
J083542.72+035353.8,231,355,58206.2153588,60943.5178819,19.8498049,20.0542755,20.07117465,0.2044706000000005,20.6438961,-0.5896205999999999,-0.0957727203792689,0.9009340600000009
J143421.57+044137.2,183,340,58198.3956597,60900.2137384,20.0306578,19.9883623,20.30260275,-0.042295500000001596,20.3007126,-0.3123503000000021,-0.08095611898054474,0.8394140150000027
