umap_x,umap_y,label
17.363115,7.613086,Zeltyn24
3.3607812,-3.6248171,Zeltyn24
6.394283,-6.442011,Zeltyn24
6.5615253,2.969973,Zeltyn24
16.181112,8.709077,Zeltyn24
8.362538,0.014493393,Zeltyn24
17.505754,9.967612,Zeltyn24
6.708301,-3.6897128,Zeltyn24
5.1999106,0.17191045,Zeltyn24
11.334457,-1.3939048,Zeltyn24
8.015858,2.4624689,Zeltyn24
5.2321687,1.1161269,Zeltyn24
12.390754,0.998775,Zeltyn24
6.3173475,2.9183552,Zeltyn24
4.648225,0.2613937,Zeltyn24
4.6453214,-0.08545177,Zeltyn24
15.627763,6.1170487,Zeltyn24
5.604641,1.2036515,Zeltyn24
6.2435327,2.166056,Zeltyn24
5.32546,-0.37276036,Zeltyn24
11.730653,2.0609794,Zeltyn24
13.236903,2.795339,Zeltyn24
3.9250312,-3.0852299,Zeltyn24
4.212961,-2.2390158,Zeltyn24
11.606714,7.5523753,Zeltyn24
16.547302,5.7052,Zeltyn24
10.047126,5.246566,Zeltyn24
5.071554,0.905287,Zeltyn24
16.57375,5.9701877,Zeltyn24
9.519662,2.4292617,Zeltyn24
11.831926,3.5110655,Zeltyn24
13.26337,6.9148655,Zeltyn24
4.729485,0.45341295,Zeltyn24
4.424805,-0.40040043,Zeltyn24
5.908966,1.6873534,Zeltyn24
2.163914,-3.7975514,Zeltyn24
9.436231,2.5539894,Zeltyn24
6.1339045,1.135525,Zeltyn24
10.077554,-3.3346527,Zeltyn24
10.398559,3.0224202,Zeltyn24
9.014519,-3.3232758,Zeltyn24
17.064245,7.909504,Zeltyn24
9.110736,-1.4813468,Zeltyn24
13.659794,9.171763,Zeltyn24
11.05436,6.7775054,Zeltyn24
10.252382,7.673562,Zeltyn24
4.25653,-1.3796809,Zeltyn24
17.14089,8.2868805,Zeltyn24
12.972266,5.968631,Zeltyn24
16.129995,5.6726255,Zeltyn24
13.65579,7.092285,Zeltyn24
8.125612,-4.230122,Zeltyn24
9.800519,1.2061652,Zeltyn24
6.3046856,2.6302164,Zeltyn24
3.5601826,-3.5883055,Zeltyn24
11.689649,-0.53651667,Zeltyn24
6.2098913,2.6168537,Zeltyn24
15.567622,7.550981,Zeltyn24
16.994253,6.269136,Zeltyn24
14.291056,6.9547877,Zeltyn24
11.387866,-1.7471536,Zeltyn24
19.54702,6.294943,Zeltyn24
17.343029,2.1868305,Zeltyn24
6.1729493,2.2251892,Zeltyn24
9.931138,4.2715945,Zeltyn24
13.7819195,5.821023,Zeltyn24
9.560522,6.73877,Zeltyn24
7.047563,-0.35337663,Zeltyn24
18.485935,4.5537176,Zeltyn24
1.3762172,-4.1261425,Zeltyn24
7.045888,3.903777,Zeltyn24
6.457077,0.20528121,Zeltyn24
8.321188,-1.7307184,Zeltyn24
8.688843,-1.0169396,Zeltyn24
9.062398,1.4128325,Zeltyn24
11.215771,2.5053716,Zeltyn24
9.286589,3.18835,Zeltyn24
6.3768463,1.4419705,Zeltyn24
18.399212,5.383171,Zeltyn24
5.0398135,0.9914084,Zeltyn24
16.445198,9.946893,Zeltyn24
6.223164,3.2372978,Zeltyn24
7.555017,3.978514,Zeltyn24
12.779801,4.176378,Zeltyn24
9.299896,3.7418966,Zeltyn24
7.463014,2.2851052,Zeltyn24
4.9843965,0.8562054,Zeltyn24
9.080808,2.7657797,Zeltyn24
8.630059,1.6962192,Zeltyn24
13.899999,4.4824095,Zeltyn24
7.555379,-4.5613246,Zeltyn24
10.378869,0.48967874,Zeltyn24
6.1935716,1.0509641,Zeltyn24
8.171436,0.95969254,Zeltyn24
9.796041,3.2939932,Zeltyn24
5.356932,1.5046532,Zeltyn24
17.319002,3.1684465,Zeltyn24
10.269024,-1.0465173,Zeltyn24
19.595234,6.793341,Zeltyn24
8.204343,2.977259,Zeltyn24
13.225999,6.1442943,Zeltyn24
12.01667,0.960922,Zeltyn24
4.158507,-2.054542,Zeltyn24
9.442411,-3.2563646,Zeltyn24
11.803207,5.5967355,Zeltyn24
5.162209,0.9450948,Zeltyn24
7.635503,0.49404153,Zeltyn24
6.372701,2.7459755,Zeltyn24
12.256925,-2.2408602,Zeltyn24
7.3687086,0.0047016097,Zeltyn24
6.7645645,-0.5195125,Zeltyn24
