rank,night,tier,name,ra,dec,z,r_mag,t_exp_min,exp_plan,prio_per_hour,priority_night,priority,M,P,trend,years_since_last_spec,n_spec,last_class,clagn_score,zeltyn_density_ratio,in_region_zeltyn,M_combined,lines_in_ngps,spec_dir,reversal_candidate,notes,hrs_oct27,minX_oct27,moonsep_oct27
1,oct27,T1,P17003,128.57462,49.244236,0.1731444,16.880373,8.0,2 x 4 min,13.145,2.848,2.848,1.7333333333333334,1.114927158288681,brightening,11.630390143737166,2,QSO,0.26,0.75,False,0.6666666666666667,MgII+Hb+[OIII]+Ha+CaII_trip,,False,"DR16 QSO, SDSS spectrum 7311-57038-389",4.166666666666667,1.08,84.0
2,oct27,T1,P24691,162.16876,54.217309,0.1042485,17.9519634,8.0,2 x 4 min,13.029,2.823,2.823,2.0,0.8233209551348784,flat/unknown,24.416153319644078,1,QSO,0.36,2.61,False,0.9333333333333335,Hb+[OIII]+Ha+CaII_trip,,False,"DR16 QSO, SDSS spectrum 906-52368-14",2.0,1.37,101.0
3,oct27,T1,P20636,144.88701,25.399035,0.3975503,17.81509495,8.0,2 x 4 min,13.002,2.817,2.817,2.0,0.8172955362565305,brightening,8.761122518822724,2,?,0.12,6.72,True,0.8,MgII+Hb+[OIII]+Ha,,False,"DR16 QSO, SDSS spectrum 9630-58086-100",2.3333333333333335,1.19,104.0
4,oct27,T1,P15441,125.18904,24.531361,0.6519384,16.6518707,8.0,2 x 4 min,12.905,2.796,2.796,1.7333333333333334,1.0630752542964452,brightening,4.7600775771389445,3,QSO,0.26,0.37,False,0.5333333333333333,MgII+Hb+[OIII],,False,"DR16 QSO, SDSS spectrum 11125-58433-162",3.5,1.05,87.0
5,oct27,T1,P21269,146.35052,29.218942,0.2686249,18.3021297,8.0,2 x 4 min,12.891,2.793,2.793,2.0,0.7934950611445006,brightening,8.572210814510608,2,?,0.38,2.24,False,0.9333333333333335,MgII+Hb+[OIII]+Ha,,False,"DR16 QSO, SDSS spectrum 10430-58155-268",2.3333333333333335,1.19,104.0
6,oct27,T1,P15447,123.35007,54.376883,0.04264095,17.0187454,8.0,2 x 4 min,12.845,2.783,2.783,1.7333333333333334,1.0496853617972886,mixed (IR vs optical),21.634496919917865,1,QSO,0.26,0.75,False,0.13333333333333333,Hb+[OIII]+Ha+CaII_trip+[SIII]9531,,False,"DR16 QSO, SDSS spectrum 1871-53384-66",4.666666666666667,1.09,80.0
7,oct27,T1,P20317,139.47927,5.6304861,0.3484484,18.4339561,10.0,2 x 5 min,12.74,3.185,3.185,1.7333333333333334,1.4515200889055901,fading,4.814525511375772,2,QSO,0.26,0.0,False,0.8,MgII+Hb+[OIII]+Ha,,False,"DR16 QSO, SDSS spectrum 991-52707-349",1.8333333333333333,1.31,106.0
8,oct27,T1,P25017,159.72204,39.364211,0.05478683,18.26089,8.0,2 x 4 min,12.725,2.757,2.757,1.0666666666666667,1.6907424475272552,brightening,22.680355920602327,1,QSO,0.16,1.12,False,,Hb+[OIII]+Ha+CaII_trip+[SIII]9531,,False,"DR16 QSO, SDSS spectrum 1430-53002-598",1.6666666666666667,1.34,108.0
9,oct27,T1,P20498,144.43066,20.745839,0.3475522,18.2636671,8.0,2 x 4 min,12.706,2.753,2.753,1.6,1.1530035096353073,flat/unknown,9.530458590006845,2,?,0.24,2.99,False,0.5333333333333333,MgII+Hb+[OIII]+Ha,,False,"DR16 QSO, SDSS spectrum 9560-57805-954",2.1666666666666665,1.21,105.0
10,oct27,T1,P15022,117.31971,39.218842,0.4632404,16.5957222,8.0,2 x 4 min,12.697,2.751,2.751,2.0,0.2510410535553373,flat/unknown,25.77138945927447,1,QSO,0.46,0.37,False,1.3333333333333335,MgII+Hb+[OIII]+Ha,,False,"DR16 QSO, SDSS spectrum 433-51873-573; also in the CLAGN region of the ZTF+W1 manifold",4.5,1.01,78.0
11,oct27,T1,P22169,148.03985,21.720364,0.07949205,17.7556839,8.0,2 x 4 min,12.697,2.751,2.751,1.6,1.1511598824988372,fading,20.67624914442163,1,QSO,0.24,0.75,False,0.6666666666666667,Hb+[OIII]+Ha+CaII_trip+[SIII]9531,,False,"DR16 QSO, SDSS spectrum 2295-53734-17",1.8333333333333333,1.25,108.0
12,oct27,T1,P24442,161.10398,46.870348,0.7163059,17.9868021,11.0,2 x 6 min,12.671,3.379,3.379,2.0,0.8794037980638592,flat/unknown,23.72621492128679,1,QSO,0.14,7.46,True,1.2,MgII+Hb+[OIII],,False,"DR16 QSO, SDSS spectrum 962-52620-72; also in the CLAGN region of the ZTF+W1 manifold",1.8333333333333333,1.34,105.0
13,oct27,T1,P15296,120.58624,13.855245,0.1123611,18.01200675,8.0,2 x 4 min,12.568,2.723,2.723,1.4666666666666668,0.7564259618240411,fading,20.8186173853525,1,QSO,0.22,2.61,False,1.3333333333333335,Hb+[OIII]+Ha+CaII_trip,,False,"DR16 QSO, SDSS spectrum 2268-53682-355; also in the CLAGN region of the ZTF+W1 manifold",3.5,1.08,85.0
14,oct27,T1,P23155,157.30242,40.705503,0.1469604,18.19237615,8.0,2 x 4 min,12.517,2.712,2.712,2.0,0.21207174166544826,flat/unknown,8.61327857631759,2,?,0.54,1.12,False,1.2,MgII+Hb+[OIII]+Ha+CaII_trip,,False,"DR16 QSO, SDSS spectrum 8363-58140-92; also in the CLAGN region of the ZTF+W1 manifold",2.0,1.3,106.0
15,oct27,T1,P24803,159.46592,33.813938,0.05104554,17.291358000000002,8.0,2 x 4 min,12.485,2.705,2.705,2.0,0.7049295419336168,flat/unknown,21.492128678986994,1,QSO,0.34,0.75,False,0.8,Hb+[OIII]+Ha+CaII_trip+[SIII]9531,,False,"DR16 QSO, SDSS spectrum 1982-53436-506",1.5,1.35,111.0
16,oct27,T1,P14895,119.72341,11.32893,0.4298891,18.2698116,8.0,2 x 4 min,12.369,2.68,2.68,2.0,0.6801589539059131,fading,4.599036123175909,2,QSO,0.18,6.34,True,0.5333333333333333,MgII+Hb+[OIII]+Ha,,False,"DR16 QSO, SDSS spectrum 2418-53794-432",3.3333333333333335,1.1,85.0
17,oct27,T1,P22777,153.74218,31.658814,0.1189455,18.0599442,8.0,2 x 4 min,12.355,2.677,2.677,1.6,1.0766952667903311,mixed (IR vs optical),21.489390828199863,1,QSO,0.24,0.75,False,0.25666666666666665,Hb+[OIII]+Ha+CaII_trip,,False,"DR16 QSO, SDSS spectrum 1956-53437-368",1.8333333333333333,1.27,108.0
18,oct27,T1,P18234,130.58383,7.9384406,0.1043216,17.5136566,8.0,2 x 4 min,12.342,2.674,2.674,2.0,0.6736841570451457,flat/unknown,22.46406570841889,2,QSO,0.38,2.24,False,0.9333333333333335,Hb+[OIII]+Ha+CaII_trip,,False,"DR16 QSO, SDSS spectrum 1298-52964-339",2.5,1.19,96.0
19,oct27,T1,P19458,136.7591,40.989887,0.4491847,18.3372097,8.0,2 x 4 min,11.986,2.597,2.597,1.6,0.9972102019241859,fading,23.59479808350445,1,QSO,0.24,0.75,False,0.5133333333333333,MgII+Hb+[OIII]+Ha,,False,"DR16 QSO, SDSS spectrum 1200-52668-187",3.3333333333333335,1.09,92.0
