ra,dec,ref
223.70844,11.24289,Graham 19
224.4808,43.84321,Graham 19
225.88377,29.83995,Graham 19
229.0177,35.84025,Graham 19
231.6746,16.54608,Graham 19
231.95829,8.73567,Graham 19
233.47749,34.91788,Graham 19
233.48329,1.17494,Graham 19
233.56423,30.5765,Graham 19
234.86181,20.04905,Graham 19
236.28135,17.16411,Graham 19
236.37346,25.19108,Graham 19
237.57182,41.65067,Graham 19
238.24283,27.62461,Graham 19
238.66777,36.49777,Graham 19
239.21412,32.16895,Graham 19
239.62238,27.2873,Graham 19
240.03096,11.22135,Graham 19
240.12617,26.7547,Graham 19
241.92895,43.47126,Graham 19
242.2009,0.69681,Graham 19
243.50128,-1.16829,Graham 19
243.555,26.07117,Graham 19
246.46991,12.88795,Graham 19
248.84768,26.51299,Graham 19
259.00806,31.20386,Graham 19
312.63455,-7.02534,Graham 19
326.55544,0.15856,Graham 19
342.12279,14.73834,Graham 19
346.18117,-8.68573,Graham 19
346.76214,4.54918,Graham 19
348.03171,14.03705,Graham 19
350.73605,18.97126,Graham 19
351.19446,14.00809,Graham 19
352.90348,-10.94396,Graham 19
358.66309,0.96438,Graham 19
29.99,0.55301,LaMassa 15
0.28136,-0.09792,Yang 18
21.70042,-8.66336,Yang 18
29.99015,0.55288,Yang 18
120.9482,42.97751,Yang 18
127.88438,36.77141,Yang 18
132.49079,27.79135,Yang 18
137.38344,47.79187,Yang 18
144.37634,26.04227,Yang 18
144.39779,32.54717,Yang 18
150.84779,35.41774,Yang 18
152.97079,54.70177,Yang 18
166.09679,63.71812,Yang 18
173.12143,3.9581,Yang 18
194.81977,55.25198,Yang 18
199.87816,67.89873,Yang 18
209.07708,-1.25389,Yang 18
209.73261,49.57057,Yang 18
221.97599,28.55671,Yang 18
233.48329,1.17494,Yang 18
236.37346,25.19108,Yang 18
2.54159,-4.71053,Hon 22
3.57558,-5.31811,Hon 22
10.38189,-22.64168,Hon 22
22.58872,-46.02915,Hon 22
42.14354,-72.14186,Hon 22
56.3022,-39.5748,Hon 22
73.6421,-20.08526,Hon 22
74.66796,-21.99193,Hon 22
79.89923,-32.65775,Hon 22
93.16105,-35.71861,Hon 22
93.35124,-29.00636,Hon 22
139.36338,-64.94085,Hon 22
152.2024,-9.91408,Hon 22
167.31085,-12.93152,Hon 22
205.06394,-4.89204,Hon 22
211.71137,-24.71383,Hon 22
228.41163,-34.67793,Hon 22
228.70297,-40.36474,Hon 22
234.68652,-3.38002,Hon 22
260.39246,-54.72079,Hon 22
276.21875,-43.48271,Hon 22
279.89929,-35.68997,Hon 22
297.30719,-18.78762,Hon 22
299.73564,-42.37511,Hon 22
301.96374,-11.14287,Hon 22
309.49935,-50.39249,Hon 22
311.68583,-1.36881,Hon 22
347.33009,-32.49922,Hon 22
352.63467,-2.46254,Hon 22
193.24467,59.3091,Sheng 20
196.82077,45.11259,Sheng 20
199.40802,10.40775,Sheng 20
217.19465,17.3981,Sheng 20
237.47337,11.36345,Sheng 20
246.96747,54.32018,Sheng 20
258.47436,27.60753,Sheng 20
21.70042,-8.66336,Ruan 16
29.99,0.55301,Ruan 16
354.01239,0.29138,Ruan 16
18.59611,-55.39821,Lyu 22
20.94072,-58.80578,Lyu 22
33.63985,-0.76672,Lyu 22
46.29421,-1.07545,Lyu 22
51.3557,-6.14389,Lyu 22
53.4017,-36.14019,Lyu 22
65.00164,-54.93794,Lyu 22
66.50301,-57.20051,Lyu 22
74.78916,4.97511,Lyu 22
79.89923,-32.65775,Lyu 22
103.05136,74.42699,Lyu 22
120.0874,26.61351,Lyu 22
121.02438,5.11385,Lyu 22
124.36008,10.20281,Lyu 22
125.84956,42.34673,Lyu 22
127.42781,41.91024,Lyu 22
128.91168,-4.08832,Lyu 22
138.87935,48.23548,Lyu 22
146.42521,-14.32638,Lyu 22
150.48016,72.17031,Lyu 22
150.84779,35.41774,Lyu 22
165.24044,-0.88457,Lyu 22
166.69776,72.56869,Lyu 22
168.90237,5.74715,Lyu 22
173.12143,3.9581,Lyu 22
173.48311,67.01863,Lyu 22
174.71292,-23.36,Lyu 22
179.71925,42.57033,Lyu 22
180.79003,44.53131,Lyu 22
181.19966,17.04916,Lyu 22
182.63575,39.40585,Lyu 22
186.44492,12.66216,Lyu 22
186.45358,33.54686,Lyu 22
186.45957,51.14623,Lyu 22
188.90265,-39.90935,Lyu 22
193.51578,49.24803,Lyu 22
196.05964,-10.33956,Lyu 22
199.06639,30.2644,Lyu 22
199.87816,67.89873,Lyu 22
201.2387,48.04481,Lyu 22
214.49811,25.13685,Lyu 22
221.97599,28.55671,Lyu 22
233.28344,44.53566,Lyu 22
236.37346,25.19108,Lyu 22
238.24283,27.62461,Lyu 22
238.66777,36.49777,Lyu 22
246.25596,24.26317,Lyu 22
249.12359,41.03955,Lyu 22
259.24812,-62.82056,Lyu 22
260.84294,55.07045,Lyu 22
280.53746,79.77142,Lyu 22
349.73609,0.24398,Lyu 22
351.35083,-38.44698,Lyu 22
351.98626,8.77897,Lyu 22
