rank,night,stratum,tier,arm,name,ra,dec,z,r_now,r_mag,t_exp_min,exp_plan,yield_per_hour,prio_per_hour,priority_night,priority,score,trend,source_catalog,notes,years_since_last_spec,P_hb_dim,P_cont_dim,P_hb_bright,P_cont_bright,P_hb,lit_corner,dir,d_opt,dw1_neowise,dcolor,ampW1,LOGLEDD_RATIO,known_type,mjd_last_sdssv,why,why_night,hrs_sep23,minX_sep23,moonsep_sep23,rank04,origin,sched_start
11,sep23,D2,D2,quasar,P5609,328.5561,27.780912,0.2158226,17.80222,17.80222,8.0,2 x 4 min,2.792,2.792,0.605,0.864,0.8640989175057868,brightening,DR16_QSO,DR16 quasar,14.2258726899384,0.0057324016808124,0.004005072891686,0.8640989175057868,0.5692510644980204,0.1466666666666666,False,0.06,-0.9804115113507345,-0.5670000000000002,0.0269999999999992,0.7539731,-1.7727076369893382,,,"P(broad Hbeta rose > 2x) = 0.86, P(continuum brightened) = 0.57; optical brighter by 0.98 mag since the 5964-56098-192 spectrum (ZTF vs synthetic); W1 brightened 0.57 mag 2014-24; W1 amplitude 0.75 mag; log Edd -1.77; manifold prior P_hb 0.15, direction turn-on-like","P(broad Hbeta rose > 2x) = 0.86, P(continuum brightened) = 0.57; optical brighter by 0.98 mag since the 5964-56098-192 spectrum (ZTF vs synthetic); W1 brightened 0.57 mag 2014-24; W1 amplitude 0.75 mag; log Edd -1.77; manifold prior P_hb 0.15, direction turn-on-like; sep23: x0.7 moon, 8 min + 5 overhead -> yield/h 2.792",4.666666666666667,1.0,41.0,8,04,22:50
12,sep23,D2,D2,quasar,P5125,318.14533,-0.990799,0.2351038,17.47954,17.47954,8.0,2 x 4 min,3.053,3.053,0.661,0.945,0.9449739802082586,brightening,DR16_QSO,DR16 quasar,8.914442162902121,0.0004449444370976,0.0003230259278758,0.9449739802082586,0.5832890782611319,0.0533333333333333,False,-0.06,-1.529703184015473,-0.2409999999999996,0.0184999999999995,0.5063725,-1.272719271872667,,,"P(broad Hbeta rose > 2x) = 0.94, P(continuum brightened) = 0.58; optical brighter by 1.53 mag since the 9139-58038-319 spectrum (ZTF vs synthetic); W1 brightened 0.24 mag 2014-24; W1 amplitude 0.51 mag; log Edd -1.27; manifold prior P_hb 0.05, direction turn-off-like","P(broad Hbeta rose > 2x) = 0.94, P(continuum brightened) = 0.58; optical brighter by 1.53 mag since the 9139-58038-319 spectrum (ZTF vs synthetic); W1 brightened 0.24 mag 2014-24; W1 amplitude 0.51 mag; log Edd -1.27; manifold prior P_hb 0.05, direction turn-off-like; sep23: x0.7 moon, 8 min + 5 overhead -> yield/h 3.053",4.666666666666667,1.21,42.0,4,04,23:05
13,sep23,D1,D1,quasar,P4901,314.59226,-6.8345513,0.0737937,18.05438,18.05438,8.0,2 x 4 min,,1.232,0.267,0.381,0.381103361548255,fading (IR),DR16_QSO,DR16 quasar,24.9637234770705,0.381103361548255,0.015330476750788,0.0024135693477082,0.0046170246978046,0.0266666666666666,False,0.02,0.1439194552506322,0.426499999999999,-0.1160000000000014,0.5387741,,,,"P(broad Hbeta fell > 2x) = 0.38, P(continuum dimmed) = 0.02; optical fainter by 0.14 mag since the 636-52176-105 spectrum (ZTF vs synthetic); W1 faded 0.43 mag 2014-24; W1-W2 bluer by 0.12; W1 amplitude 0.54 mag; manifold prior P_hb 0.03, direction neutral",,4.666666666666667,1.31,46.0,0,pick-other-night,23:20
14,sep23,D1,D1,quasar,P5293,322.56468,11.336005,0.1225919,17.86382,17.86382,9.0,2 x 4 min,,0.651,0.152,0.381,0.3813047320783349,fading,DR16_QSO,DR16 quasar,24.16974674880219,0.3813047320783349,0.019451375516804,0.0030612021153429,0.0046037776368668,0.08,False,0.02,0.233931552232331,0.3409999999999993,0.0499999999999989,0.30704135,,,,"P(broad Hbeta fell > 2x) = 0.38, P(continuum dimmed) = 0.02; optical fainter by 0.23 mag since the 730-52466-593 spectrum (ZTF vs synthetic); W1 faded 0.34 mag 2014-24; manifold prior P_hb 0.08, direction neutral",,4.666666666666667,1.08,39.0,0,pick-other-night,23:35
15,sep23,K,K,quasar,P13653,42.51267,1.158512,0.1938604,18.46221,18.46221,16.0,2 x 8 min,,2.0,0.7,1.0,1.0,fading (IR),DR16_QSO,DR16 quasar,0.837782340862423,0.1747254633960519,0.5345178110629343,0.3406098206900083,0.0818878612138705,0.1866666666666666,True,-0.22,,0.5220000000000002,-0.0914999999999999,1.1888826,,,60988.0,"KNOWN changer (nan) with recent photometric motion; W1 faded 0.52 mag 2014-24; W1-W2 bluer by 0.09; W1 amplitude 1.19 mag; manifold prior P_hb 0.19 (literature corner), direction turn-off-like",,0.8333333333333334,1.6,42.0,0,schedule-fill,23:50
0,sep23,K,K,quasar,P3502,253.64935,33.04761,0.1218863,16.93803,16.93803,8.0,2 x 4 min,3.485,3.485,0.755,0.755,0.754999999999999,fading,DR16_QSO,DR16 quasar,23.279945242984255,0.3954771864956458,0.3064216910996079,0.0001419764319686,0.0003243796904348,0.2,False,-0.12,0.7808718387623728,0.254999999999999,-0.1159999999999996,0.7271706,-1.543887599439536,turn-off,,"KNOWN changer (turn-off) with recent photometric motion; optical fainter by 0.78 mag since the 1175-52791-31 spectrum (ZTF vs synthetic); W1 faded 0.25 mag 2014-24; W1-W2 bluer by 0.12; W1 amplitude 0.73 mag; log Edd -1.54; manifold prior P_hb 0.20, direction turn-off-like","KNOWN changer (turn-off) with recent photometric motion; optical fainter by 0.78 mag since the 1175-52791-31 spectrum (ZTF vs synthetic); W1 faded 0.25 mag 2014-24; W1-W2 bluer by 0.12; W1 amplitude 0.73 mag; log Edd -1.54; manifold prior P_hb 0.20, direction turn-off-like; sep23: x1.0 moon, 8 min + 5 overhead -> yield/h 3.485",2.3333333333333335,1.18,104.0,0,04,
0,sep23,D2,D2,quasar,P2177,246.08622,51.77766,0.2839231,18.4294,18.4294,10.0,2 x 5 min,3.038,3.038,0.759,0.759,0.7594562818818407,brightening,DR16_QSO,DR16 quasar,13.234770704996578,0.01219391997029,0.0090130890862332,0.7594562818818407,0.4034407938787865,0.1266666666666666,True,0.1,-0.8714397355563008,-0.2759999999999998,0.0449999999999999,0.6740892,-2.164900482062457,,,"P(broad Hbeta rose > 2x) = 0.76, P(continuum brightened) = 0.40; optical brighter by 0.87 mag since the 6313-56460-277 spectrum (ZTF vs synthetic); W1 brightened 0.28 mag 2014-24; W1 amplitude 0.67 mag; log Edd -2.16; manifold prior P_hb 0.13 (literature corner), direction turn-on-like","P(broad Hbeta rose > 2x) = 0.76, P(continuum brightened) = 0.40; optical brighter by 0.87 mag since the 6313-56460-277 spectrum (ZTF vs synthetic); W1 brightened 0.28 mag 2014-24; W1 amplitude 0.67 mag; log Edd -2.16; manifold prior P_hb 0.13 (literature corner), direction turn-on-like; sep23: x1.0 moon, 10 min + 5 overhead -> yield/h 3.038",2.5,1.27,105.0,5,04,
0,sep23,K,K,quasar,P2827,247.48373,27.800051,0.221178,17.52038,17.52038,8.0,2 x 4 min,2.631,2.631,0.57,0.57,0.5699999999999985,brightening,DR16_QSO,DR16 quasar,18.455852156057496,0.0059499429510081,0.0057298091353898,0.7851616903479673,0.165727103940402,0.1066666666666666,False,-0.02,-0.9822149677821664,-0.0699999999999985,0.0299999999999993,0.42946213,-2.092165182378963,turn-on,,"KNOWN changer (turn-on) with recent photometric motion; optical brighter by 0.98 mag since the 2948-54553-315 spectrum (ZTF vs synthetic); W1 amplitude 0.43 mag; log Edd -2.09; manifold prior P_hb 0.11, direction neutral","KNOWN changer (turn-on) with recent photometric motion; optical brighter by 0.98 mag since the 2948-54553-315 spectrum (ZTF vs synthetic); W1 amplitude 0.43 mag; log Edd -2.09; manifold prior P_hb 0.11, direction neutral; sep23: x1.0 moon, 8 min + 5 overhead -> yield/h 2.631",1.8333333333333333,1.28,110.0,0,04,
0,sep23,D1,D1,quasar,P2258,243.64108,54.680615,0.2330399,18.44831,18.44831,10.0,2 x 5 min,2.588,2.588,0.647,0.647,0.646964654108144,fading,DR16_QSO,DR16 quasar,12.279260780287474,0.646964654108144,0.1035352032437135,0.0022239992097985,0.0036430618759748,0.0666666666666666,False,-0.0399999999999999,0.3005940928573185,0.5609999999999999,-0.0739999999999998,0.43800357,,,,"P(broad Hbeta fell > 2x) = 0.65, P(continuum dimmed) = 0.10; optical fainter by 0.30 mag since the 7565-56809-107 spectrum (ZTF vs synthetic); W1 faded 0.56 mag 2014-24; W1 amplitude 0.44 mag; manifold prior P_hb 0.07, direction turn-off-like","P(broad Hbeta fell > 2x) = 0.65, P(continuum dimmed) = 0.10; optical fainter by 0.30 mag since the 7565-56809-107 spectrum (ZTF vs synthetic); W1 faded 0.56 mag 2014-24; W1 amplitude 0.44 mag; manifold prior P_hb 0.07, direction turn-off-like; sep23: x1.0 moon, 10 min + 5 overhead -> yield/h 2.588",2.5,1.3,105.0,9,04,
0,sep23,D2,D2,galaxy,G1603420604420089856,253.23021,23.903884,0.05714548,17.49668,17.49668,8.0,2 x 4 min,2.492,2.492,0.54,0.54,0.54,brightening (IR),SDSS_GALAXY,turn-on arm: SDSS narrow-line AGN galaxy,,,,,,,,,-0.0567716851261232,-0.3060000000000009,0.2839999999999989,,,,,"TURN-ON candidate (galaxy parent, AGN, z=0.057): W1 brightened 0.31 mag and W2 0.59 mag 2014-24 (11/22 sigma); optical change -0.06 mag; W1-W2 reddened by +0.28 (nucleus emerging); score 0.54 = literature success rate of this trigger set","TURN-ON candidate (galaxy parent, AGN, z=0.057): W1 brightened 0.31 mag and W2 0.59 mag 2014-24 (11/22 sigma); optical change -0.06 mag; W1-W2 reddened by +0.28 (nucleus emerging); score 0.54 = literature success rate of this trigger set; sep23: x1.0 moon, 8 min + 5 overhead -> yield/h 2.492",2.0,1.22,106.0,0,04,
