idx,name,ra,dec,n_spec,n_sdss,n_desi,mjd_first,mjd_last,years_since_last_spec,baseline_yr,surveys,mjd_list,class_list,subclass_list,class_change_flag,broadline_change_flag,last_class,last_subclass,z_spec_median,r_nmgy_last_sdssv,mjd_last_sdssv
540,P4177,248.54479,46.589325,3,2,1,52144.0,59729.3700144,4.264324514526162,20.767611264613286,eboss|main|sdss,52144|58257|59729,QSO|?|QSO,BROADLINE||,False,True,QSO,,0.36214289248964115,,
541,P2638,243.13819,34.823787,2,1,1,53436.0,59350.38691091,5.30192370272604,16.192708859438735,main|sdss,53436|59350,QSO|QSO,BROADLINE|,False,True,QSO,,0.432828505380342,,
542,P790,238.5794,45.44392,2,1,1,52753.0,59354.3577291,5.2910521950189935,18.073532454757007,main|sdss,52753|59354,QSO|QSO,BROADLINE|,False,True,QSO,,0.517313573843154,,
543,P15444,125.13887,4.0099845,2,1,1,52642.0,59607.229597195,4.598726751911522,19.069759335236142,main|sdss,52642|59607,QSO|QSO,BROADLINE|,False,True,QSO,,0.37622022017366186,,
544,P5053,320.51592,0.18868198,11,10,1,52523.0,59734.46058849,4.2503872822469075,19.743903048569475,BHM|eboss|main|sdss,52523|57932|58039|59159|59159|59370|59370|59371|59372|59372|59734,?|?|?|QSO|QSO|?|?|?|?|?|QSO,|||STARBURST BROADLINE|STARBURST BROADLINE||||||,False,True,QSO,,0.2294581,42.12358,59159.0
545,P16734,127.79855,34.991026,5,5,0,52668.0,59197.0,5.721874177496739,17.87542778918549,BHM|eboss|sdss,52668|58127|58511|59197|59197,?|?|?|QSO|QSO,|||STARBURST BROADLINE|STARBURST BROADLINE,False,False,QSO,STARBURST BROADLINE,0.4394899,76.72875,59197.0
546,P14635,115.79735,35.46986,2,1,1,51993.0,59532.37284619,4.803673366572707,20.64167788142369,main|sdss,51993|59532,QSO|QSO,BROADLINE|,False,True,QSO,,0.30289848708706957,,
547,P18097,134.76651,2.0844505,10,8,2,51913.0,59636.0,4.519957681945747,21.144421629021217,BHM|COMMISSIONING|main|sdss|sv1,51913|59252|59252|59288|59535|59630|59631|59635|59636|59636,?|QSO|QSO|QSO|QSO|?|?|?|?|?,|BROADLINE|BROADLINE|||||||,False,True,?,,0.18937321563102388,32.14126,59252.0
548,P17415,132.38636,17.00572,3,2,1,53708.0,59585.3036138,4.658756822808162,16.09118032525668,eboss|main|sdss,53708|58488|59585,QSO|?|QSO,STARBURST BROADLINE||,False,True,QSO,,0.3364506365113338,,
549,P16479,121.75389,31.145517,1,1,0,52318.0,52318.0,24.555549742178464,0.0,sdss,52318,QSO,STARBURST BROADLINE,False,False,QSO,STARBURST BROADLINE,0.399884,,
550,P17300,128.73129,40.220654,1,1,0,52581.0,52581.0,23.835494985162722,0.0,sdss,52581,QSO,STARBURST BROADLINE,False,False,QSO,STARBURST BROADLINE,0.1922462,,
551,P14585,114.43154,30.762063,2,1,1,52232.0,59534.35714335,4.7982406570313145,19.992764252840512,main|sdss,52232|59534,QSO|QSO,STARBURST BROADLINE|,False,True,QSO,,0.24634011316454346,,
552,P5028,321.77257,10.845869,2,1,1,52466.0,59375.44484794,5.233318810104538,18.917029015578375,main|sdss,52466|59375,QSO|QSO,STARBURST BROADLINE|,False,True,QSO,,0.264177346143263,,
553,P15739,126.74772,13.081514,4,3,1,54096.0,59883.0,3.8437085375241176,15.84394250513347,BHM|main|sdss,54096|59536|59883|59883,?|QSO|?|?,|||,False,False,?,,0.2396479716765486,,
554,P5450,329.0233,26.970989,2,1,1,57573.0,59560.11921524999,4.727707948201753,5.440435907597518,eboss|main,57573|59560,QSO|QSO,BROADLINE|,False,True,QSO,,0.39330723282407215,,
555,P14952,113.55965,45.031195,1,1,0,53314.0,53314.0,21.828650358194892,0.0,sdss,53314,QSO,BROADLINE,False,False,QSO,BROADLINE,0.5670167,,
556,P17096,130.06843,22.106829,1,1,0,53360.0,53360.0,21.702709221986815,0.0,sdss,53360,QSO,STARBURST BROADLINE,False,False,QSO,STARBURST BROADLINE,0.2043731,,
557,P15629,123.99879,13.714624,1,1,0,53714.0,53714.0,20.73351004334205,0.0,sdss,53714,QSO,STARBURST BROADLINE,False,False,QSO,STARBURST BROADLINE,0.1806708,,
558,P16967,128.71241,9.8467933,2,1,1,54056.0,59553.37978504,4.7461595025070045,15.051005571635867,main|sdss,54056|59553,QSO|QSO,BROADLINE|,False,True,QSO,,0.6561536421056386,,
559,P15435,125.16099,17.333035,2,1,1,53726.0,59533.41926771,4.800808420590511,15.899847413305954,main|sdss,53726|59533,QSO|QSO,STARBURST BROADLINE|,False,True,QSO,,0.14541135586254106,,
560,P15514,123.30683,44.807553,2,1,1,51877.0,59544.71600798667,4.769879631331993,20.993062307971726,main|sdss,51877|59545,QSO|QSO,BROADLINE|,False,True,QSO,,0.36366797453744615,,
561,P15051,113.2883,45.918401,1,1,0,53314.0,53314.0,21.828650358194892,0.0,sdss,53314,QSO,STARBURST BROADLINE,False,False,QSO,STARBURST BROADLINE,0.1415131,,
562,P4872,266.13747,53.855465,8,8,0,51780.0,59987.0,3.558972055662379,22.469541409993155,BHM|sdss,51780|51816|51999|59957|59958|59958|59987|59987,?|?|?|?|?|?|?|?,|||||||,False,False,?,,,,
563,P18091,134.63202,41.005456,1,1,0,52703.0,52703.0,23.501477189132604,0.0,sdss,52703,QSO,BROADLINE,False,False,QSO,BROADLINE,0.4650261,,
564,P14273,110.29022,39.4458,2,1,1,55240.0,59534.39193289,4.798145408461829,11.757404333716636,boss|main,55240|59534,QSO|QSO,BROADLINE|,False,True,QSO,,0.5293802006451248,,
565,P16989,128.59218,7.68701,2,1,1,52963.0,59527.4447322,4.817165807339319,17.97247017713894,main|sdss,52963|59527,QSO|QSO,BROADLINE|,False,True,QSO,,0.7364306040277108,,
