night,kind,name,ra,dec,start_ut,start_local,end_local,minutes,airmass,moonsep,plan,label,tier,priority,z,r_mag,origin
oct26,standard,BD+28 4211,327.79592579819,28.863991007629995,2026-10-27 02:24,19:24,19:34,10,1.02,61.0,CALSPEC bd_28d4211 · sdO2VIIIHe5 V=10.6 · 2 x 30-120 s,start of night,,,,10.579999923706056,
oct26,primary,P2650,246.49816,37.943861,2026-10-27 02:34,19:34,19:49,13,1.79,119.0,2 x 4 min,,T4,0.96,0.3640382,18.0866928,04
oct26,primary,P3765,248.03376,45.871628,2026-10-27 02:49,19:49,20:04,13,1.77,113.0,2 x 4 min,,T4,0.964,0.05815266,17.15574,04
oct26,filler,P2258,243.64108,54.680615,2026-10-27 03:04,20:04,20:19,14,1.91,107.0,2 x 4 min,,T1,2.608,0.2330399,18.41047665,schedule-fill
oct26,filler,P4311,260.28955,35.704475,2026-10-27 03:19,20:19,20:34,15,1.74,113.0,2 x 5 min,,T1,2.778,0.2833574,18.45043465,schedule-fill
oct26,filler,P4665,258.69244,40.132137,2026-10-27 03:34,20:34,20:49,13,1.86,111.0,2 x 4 min,,T1,1.709,0.178081,18.231052400000003,schedule-fill
oct26,filler,P4125,254.40543,60.827595,2026-10-27 03:49,20:49,21:09,16,1.85,99.0,2 x 6 min,,T1,2.053,0.3132732,18.4816551,schedule-fill
oct26,primary,P5656,329.44789,2.7902674,2026-10-27 04:09,21:09,21:29,16,1.18,62.0,2 x 6 min,,T1,2.833,0.7046142,18.0079193,04
oct26,filler,P4935,309.37664,-5.5037167,2026-10-27 04:29,21:29,21:44,13,1.62,83.0,2 x 4 min,,T1,1.737,0.5378444,17.3117895,schedule-fill
oct26,filler,P5061,319.68018,-6.6050102,2026-10-27 04:44,21:44,21:59,13,1.52,73.0,2 x 4 min,,T1,1.974,0.3280726,18.0008354,schedule-fill
oct26,filler,P5125,318.14533,-0.990799,2026-10-27 04:59,21:59,22:14,13,1.48,74.0,2 x 4 min,,T1,1.888,0.2351038,17.4777565,schedule-fill
oct26,filler,P5635,328.75727,-8.1798498,2026-10-27 05:14,22:14,22:29,15,1.54,65.0,2 x 5 min,,T1,2.383,0.2673477,18.4650574,schedule-fill
oct26,filler,P5270,321.25503,-8.2246179,2026-10-27 05:29,22:29,22:44,13,1.78,72.0,2 x 4 min,,T1,1.676,0.6227127,17.07981,schedule-fill
