name,ra,dec
J000719.90+253128.6,1.8329166666666663,25.52461111111111
J000750.51+005815.2,1.960458333333333,0.9708888888888888
J001103.49+010032.6,2.7645416666666662,1.0090555555555556
J001133.95-000001.1,2.891458333333333,-0.0003055555555555
J001333.96+014506.8,3.3914999999999997,1.7518888888888888
J002956.65+010537.2,7.486041666666666,1.0936666666666666
J003242.74+003110.9,8.178083333333332,0.5196944444444445
J003841.53+000226.7,9.673041666666665,0.04075
J003849.27-011722.4,9.705291666666664,-1.2895555555555551
J004459.09-010629.3,11.24620833333333,-1.108138888888889
J004616.68+000249.1,11.5695,0.0469722222222222
J011536.11+003352.4,18.90045833333333,0.5645555555555556
J011851.07-010417.3,19.712791666666664,-1.0714722222222222
J011943.50-010858.5,19.931249999999995,-1.1495833333333334
J012025.45+142727.9,20.106041666666663,14.45775
J012150.93+145344.0,20.462208333333333,14.895555555555555
J012256.19-000252.6,20.734124999999995,-0.0479444444444444
J012416.34+004052.2,21.06808333333333,0.6811666666666666
J012452.64+000958.9,21.21933333333333,0.1663611111111111
J012524.66+001935.9,21.35275,0.3266388888888888
J012716.17-003557.7,21.817374999999995,-0.5993611111111111
J012839.76+003342.5,22.165666666666667,0.5618055555555556
J012946.72+150457.3,22.444666666666663,15.082583333333334
J012953.16-003104.3,22.4715,-0.5178611111111112
J013309.79-000107.7,23.290791666666664,-0.0188055555555555
J013944.05-004251.5,24.933541666666663,-0.7143055555555555
J014022.54+002629.7,25.09391666666666,0.4415833333333333
J014128.85+003712.2,25.37020833333333,0.6200555555555556
J014209.02-005050.0,25.53758333333333,-0.8472222222222222
J015105.80-003426.4,27.774166666666662,-0.574
J015108.82+003517.2,27.78675,0.5881111111111111
J015717.74+004108.4,29.323916666666666,0.6856666666666666
J015854.50+001307.3,29.72708333333333,0.2186944444444444
J015957.64+003310.5,29.990166666666667,0.5529166666666667
J020428.59-031013.7,31.119124999999997,-3.170472222222222
J020649.48-041452.7,31.70616666666666,-4.247972222222223
J020719.49-033600.7,31.831208333333333,-3.6001944444444445
J021122.60-021129.8,32.84416666666666,-2.191611111111111
J022105.64-044101.5,35.2735,-4.68375
J022907.77+003755.0,37.282375,0.6319444444444444
J023029.63+004305.0,37.623458333333325,0.7180555555555556
J023112.11-002056.3,37.80045833333333,-0.3489722222222222
J023128.98+011250.2,37.870749999999994,1.2139444444444445
J023427.80+010921.9,38.61583333333333,1.1560833333333334
J023904.10-004410.8,39.767083333333325,-0.7363333333333333
J023958.89-000901.2,39.995375,-0.1503333333333333
J024508.68+003710.7,41.28616666666666,0.619638888888889
J024510.20-000628.1,41.2925,-0.1078055555555555
J024637.95-004105.4,41.65812499999999,-0.6848333333333333
J024712.91-011106.2,41.80379166666666,-1.1850555555555555
J025515.09+003740.5,43.812875,0.6279166666666667
J073716.39+380202.4,114.31829166666664,38.034
J073916.52+315814.3,114.81883333333332,31.97063888888889
J074147.21+303243.1,115.44670833333332,30.54530555555556
J074314.98+383829.8,115.81241666666666,38.64161111111111
J074511.98+380911.3,116.29991666666665,38.15313888888889
J075225.29+284728.5,118.10537499999998,28.79125
J075827.30+342457.5,119.61375,34.41597222222222
J075934.95+322143.3,119.89562499999998,32.362027777777776
J080020.23+315414.2,120.08429166666666,31.90394444444444
J080133.29+341737.6,120.38870833333334,34.29377777777778
J080709.93+205901.8,121.79137499999996,20.983833333333333
J080711.72+194439.7,121.7988333333333,19.74436111111111
J080717.58+251758.7,121.82325,25.29963888888889
J080803.27+325145.6,122.01362499999998,32.86266666666667
J080832.67+260130.3,122.13612499999996,26.02508333333333
J080838.73+273252.4,122.16137499999998,27.54788888888889
J081009.62+211625.8,122.5400833333333,21.273833333333332
J081051.52+325251.9,122.71466666666664,32.881083333333336
J081116.71+320935.4,122.819625,32.15983333333333
J081127.88+222045.3,122.86616666666666,22.345916666666664
J081314.19+215550.8,123.30912499999998,21.930777777777777
J081338.47+215349.9,123.41029166666664,21.897194444444445
J081352.60+243903.6,123.46916666666668,24.651
J081429.24+265241.5,123.62183333333331,26.878194444444446
J081537.56+384303.2,123.90649999999998,38.71755555555555
J082018.50+344141.0,125.07708333333332,34.69472222222222
J082039.62+391759.1,125.16508333333334,39.29975
J082459.79+315932.5,126.249125,31.992361111111112
J082526.43+274205.8,126.36012499999998,27.70161111111111
J082537.64+320443.7,126.40683333333332,32.07880555555556
J083000.36+343238.8,127.50149999999998,34.54411111111111
J083414.18+270101.6,128.55908333333332,27.01711111111111
J083537.26+314209.9,128.90525,31.70275
J083542.72+035353.8,128.928,3.898277777777778
J083716.47+035606.1,129.318625,3.935027777777778
J083754.66+040007.2,129.47775,4.002
J084047.47+370701.1,130.19779166666663,37.11697222222222
J084158.34+035851.7,130.49308333333332,3.981027777777778
J084528.72-002723.3,131.36966666666666,-0.4564722222222222
J084637.65+000024.5,131.656875,0.0068055555555555
J084924.70+002049.7,132.35291666666663,0.3471388888888889
J085321.89+010216.7,133.34120833333333,1.0379722222222223
J085337.26+014303.6,133.40525,1.717666666666667
J085502.14+520137.7,133.75891666666666,52.027138888888885
J085512.13+032950.6,133.80054166666665,3.497388888888889
J090254.12+015429.1,135.72549999999998,1.9080833333333336
J090315.11+010623.1,135.81295833333334,1.1064166666666668
J090315.87-000710.1,135.816125,-0.1194722222222222
J090457.90+010423.1,136.24124999999998,1.0730833333333334
J090459.92-004206.9,136.24966666666666,-0.7019166666666666
J090535.77-004039.9,136.39904166666665,-0.67775
J090550.30+003948.1,136.4595833333333,0.6633611111111112
J090612.02+014412.0,136.5500833333333,1.7366666666666668
J090624.60+505549.5,136.60249999999996,50.930416666666666
J090826.74+002137.4,137.11141666666666,0.3603888888888888
J090903.50-005928.9,137.26458333333332,-0.991361111111111
J091156.22-005140.4,137.98424999999995,-0.8612222222222222
J091445.19+000648.8,138.68829166666663,0.1135555555555555
J091459.16+050243.4,138.74649999999997,5.045388888888889
J091649.41+000031.6,139.20587500000002,0.0087777777777777
J092158.92+034235.7,140.49549999999996,3.709916666666667
J092313.53+043445.0,140.80637499999995,4.579166666666667
J092629.23-000605.7,141.62179166666667,-0.1015833333333333
J092702.31+043308.2,141.75962499999997,4.552277777777777
J092739.77+050312.6,141.9157083333333,5.0535
J092814.62+005631.0,142.06091666666666,0.9419444444444444
J092957.88+001508.7,142.49116666666663,0.2524166666666667
J093041.65+011842.1,142.67354166666664,1.3116944444444445
J093149.46+014333.5,142.95608333333334,1.7259722222222222
J093209.96+040319.9,143.04149999999998,4.055527777777778
J093322.83+010120.9,143.34512499999997,1.0224722222222222
J093614.70+012105.9,144.06124999999997,1.351638888888889
J103723.72+363341.6,159.34883333333332,36.56155555555555
J112256.45+435227.7,170.7352083333333,43.874361111111114
J112518.07+272452.8,171.32529166666663,27.414666666666665
