name,RA,DECL,slitwidth,exptime,nexp,binspect,binspat,slitangle,airmass_max,mag,magsystem,magfilter,channel,wrange,Note,Comment
BD+284211,21:51:11.0,+28:51:50,SET 3.0,SET 60,2,3,2,PA,2.0,10.58,Vega,V,R,6000:7000,std start of night 19:23,"spectrophotometric standard, CALSPEC bd_28d4211 · sdO2VIIIHe5 V=10.6 · 2 x 30-120 s; wide slit, keep counts < 50k and > 1k; same binning as science"
P3718,16:35:13.8,+32:53:47,SET 1.3,SNR 7,2,3,2,PA,2.0,18.28,AB,r,R,7575:7655,T1 #1 19:33 p2.5,"primary; T1; z=0.160; r=18.3; line Ha at 7615 A (R); trend flat/unknown; last spectrum 24.0 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 1058-52520-10; W1 NEIGHBOUR BLEND: ~24% of the WISE flux from a neighbour within 8""; WHY: nan"
P4872,17:44:33.0,+53:51:20,SET 1.3,SNR 7,2,3,2,PA,2.0,18.26,AB,r,I,7936:8016,T1 #2 19:48 p2.3,"primary; T1; z=0.215; r=18.3; line Ha at 7977 A (I); trend fading; last spectrum 3.6 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 362-51999-9; WHY: M 1.33 (W1 light curve near literature CLAGNs, kNN score 0.2) + P 0.93 (W1 faded 0.41 mag from 2014 to 2024 (NEOWISE)), x S 1.0 (last spectrum 3.6 yr ago), x B 1.00 (r = 18.3) = 2.26; = priority 2.265; oct27: x1.0 for moon 99 deg = 2.265; 8 min on source + 5 overhead -> 10.454 per hour (ranking key)"
P1655,16:18:43.7,+55:31:08,SET 1.3,SNR 7,2,3,2,PA,2.0,18.25,AB,r,R,7067:7147,T1 #3 20:03 p2.4,"primary; T1; z=0.083; r=18.3; line Ha at 7108 A (R); trend flat/unknown; last spectrum 5.3 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 8065-58248-867; W1 NEIGHBOUR BLEND: ~24% of the WISE flux from a neighbour within 8""; WHY: nan"
P4581,17:08:04.2,+38:03:25,SET 1.3,SNR 7,2,3,2,PA,2.0,18.0,AB,r,I,8567:8647,T1 #4 20:18 p2.3,"primary; T1; z=0.312; r=18.0; line Ha at 8608 A (I); trend flat/unknown; last spectrum 5.2 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 10761-58283-44; WHY: nan"
P6406,22:42:31.8,+24:09:30,SET 1.3,SNR 7,2,3,2,PA,2.0,17.45,AB,r,I,7954:8034,T1 #5 20:33 p2.5,"primary; T1; z=0.218; r=17.4; line Ha at 7994 A (I); trend fading; last spectrum 4.8 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 7653-57306-32; also in the CLAGN region of the ZTF+W1 manifold; WHY: M 1.60 (W1 light curve near literature CLAGNs, kNN score 0.24) + P 1.40 (W1 flux now 0.57x its level at the last spectrum (unWISE to 2020)), x S 1.0 (last spectrum 4.8 yr ago), x B 1.00 (r = 17.4) = 3.00; +0.5 the ZTF+W1 manifold agrees; = priority 3.501; oct27: x0.7 for moon 50 deg = 2.451; 8 min on source + 5 overhead -> 11.312 per hour (ranking key)"
P5656,21:57:47.5,+02:47:25,SET 1.3,SNR 7,2,3,2,PA,2.0,18.01,AB,r,I,8246:8326,T1 #6 20:48 p2.8,"primary; T1; z=0.705; r=18.0; line Hb at 8286 A (I); trend flat/unknown; last spectrum 7.8 yr ago; exposure model 11 min; DR16 QSO, SDSS spectrum 11329-58426-81; also in the CLAGN region of the ZTF+W1 manifold; WHY: M 1.87 (W1 light curve in the Zeltyn CL-AGN region, 5.6x enriched) + P 0.47 (ZTF r brightened 0.21 mag since the last spectrum), x S 1.0 (last spectrum 7.8 yr ago), x B 1.00 (r = 18.0) = 2.33; +0.5 the ZTF+W1 manifold agrees; = priority 2.833; oct27: x1.0 for moon 63 deg = 2.833; 11 min on source + 5 overhead -> 10.624 per hour (ranking key)"
P4695,17:10:49.9,+65:21:02,SET 1.3,SNR 7,2,3,2,PA,2.0,17.91,AB,r,I,9050:9130,T1 #7 21:08 p1.5,"primary; T1; z=0.385; r=17.9; line Ha at 9090 A (I); trend flat/unknown; last spectrum 5.2 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 350-51691-467; WHY: nan"
P5383,21:44:13.0,+24:57:21,SET 1.3,SNR 7,2,3,2,PA,2.0,17.03,AB,r,I,8473:8553,T4 #8 21:23 p0.9,"primary; T4; z=0.751; r=17.0; line Hb at 8514 A (I); trend flat/unknown; last spectrum 10.9 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 7639-57297-526; WHY: control: bright and photometrically quiet, off the CLAGN regions; B x S x (1 - P) = 0.90; = priority 0.902; oct27: x1.0 for moon 63 deg = 0.902; 8 min on source + 5 overhead -> 4.163 per hour (ranking key)"
P4981,20:52:58.2,-05:38:41,SET 1.3,SNR 7,2,3,2,PA,2.0,18.32,AB,r,R,7660:7740,T1 #9 21:38 p1.4,"primary; T1; z=0.173; r=18.3; line Ha at 7701 A (R); trend flat/unknown; last spectrum 4.2 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 635-52145-603; WHY: nan"
