name,RA,DECL,slitwidth,exptime,nexp,binspect,binspat,slitangle,airmass_max,mag,magsystem,magfilter,channel,wrange,Note,Comment
BD+284211,21:51:11.0,+28:51:50,SET 3.0,SET 60,2,3,2,PA,2.0,10.58,Vega,V,R,6000:7000,std start of night 19:23,"spectrophotometric standard, CALSPEC bd_28d4211 · sdO2VIIIHe5 V=10.6 · 2 x 30-120 s; wide slit, keep counts < 50k and > 1k; same binning as science"
P3098,16:11:42.0,+49:58:48,SET 1.3,SET 240,2,3,2,PA,2.0,17.53,AB,r,R,7286:7366,D1 #1 19:33 p0.4,"primary; D1; z=0.116; r=17.5; line Ha at 7326 A (R); trend flat/unknown; last spectrum 25.3 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.44, P(continuum dimmed) = 0.02; optical fainter by 0.19 mag since the 623-52051-224 spectrum (ZTF vs synthetic); manifold prior P_hb 0.07, direction turn-off-like"
P4178,16:51:27.9,+40:43:41,SET 1.3,SET 240,2,3,2,PA,2.0,18.31,AB,r,G,5646:5726,D1 #2 19:53 p0.4,"primary; D1; z=0.170; r=18.3; line Hb at 5687 A (G); trend fading (IR); last spectrum 25.2 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.43, P(continuum dimmed) = 0.04; optical fainter by 0.15 mag since the 631-52079-241 spectrum (ZTF vs synthetic); W1 faded 0.26 mag 2014-24; manifold prior P_hb 0.16, direction neutral"
P3763,16:32:48.3,+48:45:44,SET 1.3,SET 240,2,3,2,PA,2.0,18.06,AB,r,R,7358:7438,D1 #3 20:08 p0.4,"primary; D1; z=0.127; r=18.1; line Ha at 7399 A (R); trend fading (IR); last spectrum 25.0 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.41, P(continuum dimmed) = 0.05; optical fainter by 0.14 mag since the 625-52145-31 spectrum (ZTF vs synthetic); W1 faded 0.39 mag 2014-24; W1-W2 bluer by 0.15; W1 amplitude 0.48 mag; manifold prior P_hb 0.17, direction neutral"
P3336,16:54:12.1,+62:53:44,SET 1.3,SET 240,2,3,2,PA,2.0,18.23,AB,r,R,7216:7296,D1 #4 20:23 p0.3,"primary; D1; z=0.106; r=18.2; line Ha at 7256 A (R); trend flat/unknown; last spectrum 26.3 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.33, P(continuum dimmed) = 0.02; optical fainter by 0.10 mag since the 349-51699-216 spectrum (ZTF vs synthetic); W1 faded 0.14 mag 2014-24; W1 amplitude 0.41 mag; manifold prior P_hb 0.21, direction neutral"
P4693,17:08:45.6,+59:57:16,SET 1.3,SET 510,2,3,2,PA,2.0,18.74,AB,r,R,6151:6231,D1 #5 20:38 p0.4,"primary; D1; z=0.274; r=18.7; line Hb at 6192 A (R); trend flat/unknown; last spectrum 26.3 yr ago; exposure model 17 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.41, P(continuum dimmed) = 0.03; optical fainter by 0.19 mag since the 353-51703-498 spectrum (ZTF vs synthetic); W1 amplitude 0.60 mag; manifold prior P_hb 0.03, direction neutral"
P4721,17:15:04.3,+56:47:16,SET 1.3,SET 240,2,3,2,PA,2.0,18.08,AB,r,G,5747:5827,D1 #6 21:03 p0.2,"primary; D1; z=0.191; r=18.1; line Hb at 5787 A (G); trend flat/unknown; last spectrum 26.0 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.18, P(continuum dimmed) = 0.01; optical fainter by 0.07 mag since the 355-51788-134 spectrum (ZTF vs synthetic); manifold prior P_hb 0.09, direction neutral"
P4971,20:50:50.8,+00:12:00,SET 1.3,SET 600,4,3,2,PA,2.0,19.19,AB,r,R,6322:6402,K #7 21:18 p1.0,"primary; K; z=0.309; r=19.2; line Hb at 6363 A (R); trend fading; last spectrum 24.2 yr ago; exposure model 40 min; DR16 quasar; WHY: KNOWN changer (turn-off) with recent photometric motion; optical fainter by 0.49 mag since the 982-52466-539 spectrum (ZTF vs synthetic); W1 faded 0.63 mag 2014-24; W1-W2 bluer by 0.09; W1 amplitude 0.67 mag; log Edd -1.66; manifold prior P_hb 0.21, direction turn-off-like"
P5225,21:22:16.4,-01:50:00,SET 1.3,SET 240,2,3,2,PA,2.0,18.32,AB,r,R,7415:7495,D2 #8 22:08 p0.3,"primary; D2; z=0.136; r=18.3; line Ha at 7456 A (R); trend brightening; last spectrum 8.9 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta rose > 2x) = 0.32, P(continuum brightened) = 0.10; optical brighter by 0.77 mag since the 9140-58039-168 spectrum (ZTF vs synthetic); W1 brightened 0.22 mag 2014-24; W1 amplitude 0.49 mag; log Edd -1.21; manifold prior P_hb 0.21, direction turn-on-like"
P5180,21:00:03.1,-00:58:47,SET 1.3,SET 330,2,3,2,PA,2.0,18.49,AB,r,R,7535:7615,D1 #9 22:23 p0.3,"primary; D1; z=0.154; r=18.5; line Ha at 7575 A (R); trend fading; last spectrum 24.2 yr ago; exposure model 11 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.30, P(continuum dimmed) = 0.03; optical fainter by 0.26 mag since the 984-52442-125 spectrum (ZTF vs synthetic); W1 brightened 0.13 mag 2014-24; W1 amplitude 0.46 mag; manifold prior P_hb 0.23, direction neutral"
P5206,21:06:23.0,+10:56:07,SET 1.3,SET 240,2,3,2,PA,2.0,17.75,AB,r,R,7145:7225,D1 #10 22:43 p0.3,"primary; D1; z=0.095; r=17.7; line Ha at 7186 A (R); trend flat/unknown; last spectrum 24.0 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.29, P(continuum dimmed) = 0.01; optical fainter by 0.14 mag since the 728-52520-348 spectrum (ZTF vs synthetic); W1-W2 bluer by 0.11; W1 amplitude 0.42 mag; manifold prior P_hb 0.14, direction neutral"
P5408,21:48:17.4,+00:04:20,SET 1.3,SET 480,2,3,2,PA,2.0,18.69,AB,r,R,6196:6276,D2 #11 22:58 p0.5,"primary; D2; z=0.283; r=18.7; line Hb at 6236 A (R); trend brightening; last spectrum 15.9 yr ago; exposure model 16 min; DR16 quasar; WHY: P(broad Hbeta rose > 2x) = 0.50, P(continuum brightened) = 0.07; optical brighter by 1.14 mag since the 4196-55478-898 spectrum (ZTF vs synthetic); W1 amplitude 0.44 mag; log Edd -0.46; manifold prior P_hb 0.08, direction turn-off-like"
P5394,21:45:18.4,+00:34:23,SET 1.3,SET 240,2,3,2,PA,2.0,18.36,AB,r,R,5825:5905,D1 #12 23:23 p0.3,"primary; D1; z=0.207; r=18.4; line Hb at 5866 A (R); trend fading (IR); last spectrum 24.2 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.25, P(continuum dimmed) = 0.03; optical fainter by 0.05 mag since the 990-52465-545 spectrum (ZTF vs synthetic); W1 faded 0.35 mag 2014-24; W1-W2 bluer by 0.08; W1 amplitude 0.65 mag; manifold prior P_hb 0.13, direction neutral"
