wavelength_um,flux_mjy,flux_err_mjy,wavelength_half_width_um,bandpass,ab_mag,ab_mag_err,object_name,ra_deg,dec_deg,spectrum_type,background_mode,aperture_radius_pix,aperture_radius_arcsec,annulus_inner_radius_pix,annulus_outer_radius_pix,flux_raw_mjy,background_median_mjy_per_pix,variance_ap_mjy2,variance_bg_mjy2,covariance_aperture_background_mjy2,variance_measurement_mjy2,variance_calibration_mjy2,variance_total_mjy2,measurement_method,mask_mode,n_aperture_pixels,n_annulus_pixels,image_names,mjds,flag_names,flag_values,aperture_coverage,aperture_centroid_dra_arcsec,aperture_centroid_ddec_arcsec,annulus_centroid_dra_arcsec,annulus_centroid_ddec_arcsec
0.95073,0.15271,0.046630,0.01231,SPHEREx-D1,18.440,0.332,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.68,2.00,7.00,1.7826,0.17232,0.0018284,0.00031149,-0.000012544,0.0021650,0.0000093287,0.0021743,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,16,156,level2_2026W04_1A_0082_3D1_spx_l2b-v23-2026-023.fits,61059.38703800,SOURCE:19,2097152:19,1.0000000000000002,0.496,-1.827,1.904,6.191
0.96211,0.15731,0.042342,0.01231,SPHEREx-D1,18.408,0.292,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.2980,0.12067,0.0015229,0.00023424,-0.000012913,0.0017830,0.0000098981,0.0017929,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,19,174,level2_2026W29_2A_0300_1D1_spx_l2b-v25-2026-206.fits,61238.95815700,SOURCE:21,2097152:21,0.9999999999999998,-0.115,-0.011,3.015,5.146
0.96413,0.21144,0.042268,0.01241,SPHEREx-D1,18.087,0.217,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.3200,0.11657,0.0014488,0.00026528,-0.000027334,0.0017687,0.000017883,0.0017866,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,18,168,level2_2026W30_1B_0702_3D1_spx_l2b-v27-2026-222.fits,61244.46029600,,0:2;2097152:18,1,0.977,-0.747,0.872,0.723
0.96923,0.20604,0.047079,0.01268,SPHEREx-D1,18.115,0.248,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.6657,0.15435,0.0017968,0.00030826,-0.000047196,0.0021995,0.000016981,0.0022165,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,18,171,level2_2026W05_1A_0430_2D1_spx_l2b-v23-2026-030.fits,61068.00839800,SOURCE:19,2097152:19,1,0.299,-1.737,2.205,3.431
0.97234,0.20709,0.044287,0.01254,SPHEREx-D1,18.110,0.232,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.3408,0.11990,0.0014828,0.00022320,-0.00011909,0.0019442,0.000017155,0.0019613,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,16,167,level2_2025W29_1A_0366_1D1_spx_l2b-v20-2025-260.fits,60871.95054200,SOURCE:13,0:5;2097152:13,1.0000000000000002,0.292,-0.047,2.896,5.863
0.97281,0.19533,0.042323,0.01264,SPHEREx-D1,18.173,0.235,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.3100,0.11746,0.0015582,0.00027381,0.000028041,0.0017760,0.000015262,0.0017912,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,18,176,level2_2025W30_1B_0082_2D1_spx_l2b-v20-2025-262.fits,60877.45813500,SOURCE:19,2097152:19,1,0.705,-0.738,3.468,3.730
0.97325,0.25637,0.047400,0.01268,SPHEREx-D1,17.878,0.201,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.8227,0.16558,0.0019252,0.00035250,0.000028581,0.0022205,0.000026291,0.0022468,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,17,158,level2_2026W04_1A_0082_4D1_spx_l2b-v23-2026-023.fits,61059.38853000,SOURCE:17,0:1;2097152:17,1,0.668,-0.610,0.656,-0.346
0.99246,0.23917,0.046916,0.01308,SPHEREx-D1,17.953,0.213,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.6979,0.15421,0.0018489,0.00025723,-0.000036064,0.0021782,0.000022881,0.0022011,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,17,166,level2_2026W06_1A_0199_1D1_spx_l2b-v23-2026-037.fits,61073.91346300,SOURCE:18,0:1;2097152:18,1,0.262,0.109,4.013,7.278
0.99246,0.15413,0.047654,0.01308,SPHEREx-D1,18.430,0.336,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.7511,0.16883,0.0018314,0.00043449,0.0000022443,0.0022614,0.0000095023,0.0022709,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,17,145,level2_2026W05_1A_0580_1D1_spx_l2b-v23-2026-030.fits,61068.68609500,SOURCE:17,0:1;2097152:17,1.0000000000000002,1.366,-1.286,6.985,7.607
0.99566,0.32125,0.044491,0.01310,SPHEREx-D1,17.633,0.150,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.68,2.00,7.00,1.4634,0.12075,0.0016508,0.00025772,-0.000014816,0.0019381,0.000041281,0.0019794,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,18,171,level2_2025W29_1A_0366_2D1_spx_l2b-v20-2025-260.fits,60871.95203500,SOURCE:12,0:8;2097152:12,0.9999999999999998,1.032,-0.240,5.008,7.498
1.00862,0.24676,0.043636,0.01341,SPHEREx-D1,17.919,0.192,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.68,2.00,7.00,1.3954,0.12147,0.0015140,0.00031012,-0.000027806,0.0018798,0.000024356,0.0019041,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,16,168,level2_2026W29_2A_0300_3D1_spx_l2b-v25-2026-206.fits,61238.96114100,SOURCE:17,0:2;2097152:17,0.9999999999999998,0.847,-0.300,1.613,5.276
1.01583,0.19755,0.045934,0.01348,SPHEREx-D1,18.161,0.252,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.6783,0.15654,0.0017171,0.00024234,-0.000067487,0.0020944,0.000015611,0.0021100,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,16,168,level2_2026W06_1A_0199_2D1_spx_l2b-v23-2026-037.fits,61073.91495500,SOURCE:19,0:1;2097152:19,1,1.730,-0.474,0.856,5.013
1.01583,0.25920,0.049548,0.01348,SPHEREx-D1,17.866,0.208,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.8273,0.16584,0.0019183,0.00028691,-0.00011143,0.0024281,0.000026875,0.0024550,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,17,166,level2_2026W05_1A_0580_2D1_spx_l2b-v23-2026-030.fits,61068.68758700,SOURCE:18,0:1;2097152:18,1,1.359,-1.571,3.026,7.107
1.03286,0.31738,0.042549,0.01370,SPHEREx-D1,17.646,0.146,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.4456,0.11933,0.0015632,0.00029764,0.000045359,0.0017701,0.000040291,0.0018104,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,16,162,level2_2026W29_2A_0300_4D1_spx_l2b-v25-2026-206.fits,61238.96263300,SOURCE:17,2097152:17,1,1.031,-1.302,1.405,8.900
