name,ra_01,dec_01,ra,dec,dist_x,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags
P1823,245.16306,43.137382,245.1630038,43.1374341,0.238695,56697.29736391,14.288,0.078,12.993,0.063,0,0000
P1823,245.16306,43.137382,245.1631317,43.1373426,0.235788,56697.36332498,14.371,0.056,13.047,0.087,5,0000
P1823,245.16306,43.137382,245.1630566,43.1373889,0.026397,56697.49499249,14.047,0.052,12.866,0.057,10,0000
P1823,245.16306,43.137382,245.1629441,43.1374515,0.394081,56697.62678737,14.223,0.055,12.927,0.073,10,0000
P1823,245.16306,43.137382,245.1630406,43.1373164,0.241596,56697.75845484,14.307,0.069,13.008,0.074,5,0000
P1823,245.16306,43.137382,245.1630116,43.1373715,0.132646,56697.89024971,14.174,0.05,12.977,0.062,10,0000
P1823,245.16306,43.137382,245.1629149,43.1373536,0.394648,56873.08466362,14.153,0.054,12.92,0.065,10,0000
P1823,245.16306,43.137382,245.1630012,43.1373424,0.210198,56873.15049725,14.2,0.054,12.891,0.06,10,0000
P1823,245.16306,43.137382,245.1629479,43.1374341,0.349141,56877.03162727,14.134,0.051,12.972,0.068,10,0000
P1823,245.16306,43.137382,245.1629831,43.1373681,0.20812,56877.16316725,14.112,0.055,13.016,0.076,10,0000
P1823,245.16306,43.137382,245.1629995,43.1374119,0.191953,56877.29470707,14.268,0.071,12.921,0.072,5,0000
P1823,245.16306,43.137382,245.1629868,43.1374036,0.207422,56877.36054072,14.291,0.057,12.883,0.059,10,0000
P1823,245.16306,43.137382,245.1631,43.1373844,0.105434,56877.42637436,14.255,0.056,12.934,0.064,10,0000
P1823,245.16306,43.137382,245.1630446,43.137391,0.051831,56877.49208068,14.118,0.059,12.813,0.065,10,0000
P1823,245.16306,43.137382,245.1629534,43.1373915,0.282117,56877.55791428,14.236,0.056,13.028,0.07,10,0000
P1823,245.16306,43.137382,245.1630515,43.1373407,0.150347,56877.62362051,14.102,0.056,12.946,0.06,10,0000
P1823,245.16306,43.137382,245.1630725,43.1373704,0.053124,56877.68945416,14.185,0.059,12.896,0.085,10,0000
P1823,245.16306,43.137382,245.1630824,43.1373956,0.076549,56877.75516044,14.08,0.059,12.791,0.065,5,0000
P1823,245.16306,43.137382,245.162998,43.1374381,0.259452,56877.7552878,14.177,0.059,12.966,0.081,5,0000
P1823,245.16306,43.137382,245.1630322,43.1373501,0.136094,56877.82099413,14.281,0.058,12.872,0.054,10,0000
P1823,245.16306,43.137382,245.1630531,43.1373685,0.05187,56877.88682778,14.224,0.062,13.03,0.077,10,0000
P1823,245.16306,43.137382,245.1629983,43.1373991,0.173381,56877.95253405,14.219,0.058,12.969,0.071,10,0000
P1823,245.16306,43.137382,245.162972,43.1373952,0.236008,56878.01836765,14.335,0.064,13.012,0.074,10,0000
P1823,245.16306,43.137382,245.1630712,43.1374163,0.126937,56878.08407398,14.171,0.06,12.994,0.059,10,0000
P1823,245.16306,43.137382,245.1630634,43.137367,0.054734,56878.0842013,14.217,0.054,12.983,0.062,10,0000
P1823,245.16306,43.137382,245.1630097,43.137428,0.211857,56878.14990762,14.141,0.053,12.958,0.077,10,0000
P1823,245.16306,43.137382,245.1630397,43.1373636,0.085039,56878.21574122,14.245,0.066,12.89,0.055,10,0000
P1823,245.16306,43.137382,245.1630894,43.1374519,0.263225,56878.28144755,14.247,0.056,12.892,0.057,10,0000
P1823,245.16306,43.137382,245.1630651,43.137351,0.112401,56878.34728119,14.297,0.074,12.866,0.056,10,0000
P1823,245.16306,43.137382,245.1630295,43.1373963,0.095236,56878.41298742,14.158,0.055,12.989,0.061,10,0000
P1823,245.16306,43.137382,245.1630878,43.1374059,0.112855,56878.54465471,14.183,0.054,12.876,0.06,10,0000
P1823,245.16306,43.137382,245.1629965,43.1373618,0.181975,56878.67619463,14.349,0.059,12.919,0.063,10,0000
P1823,245.16306,43.137382,245.1630688,43.137365,0.065421,56878.80773459,14.265,0.058,12.891,0.058,10,0000
P1823,245.16306,43.137382,245.1630452,43.13741,0.108038,57058.03128604,14.252,0.055,13.024,0.066,10,0000
P1823,245.16306,43.137382,245.1629844,43.1373263,0.282224,57058.29411187,14.307,0.057,12.904,0.057,10,0000
P1823,245.16306,43.137382,245.1630578,43.1374425,0.217877,57058.35981834,14.246,0.057,12.887,0.063,10,0000
P1823,245.16306,43.137382,245.1630298,43.1374008,0.104281,57058.42552481,14.221,0.052,12.987,0.058,10,0000
P1823,245.16306,43.137382,245.1629551,43.1374345,0.334155,57058.55681034,14.32,0.085,13.046,0.099,10,0000
P1823,245.16306,43.137382,245.1630573,43.1374678,0.308961,57058.62251681,14.209,0.053,12.944,0.068,10,0000
P1823,245.16306,43.137382,245.1629875,43.1374654,0.355552,57058.68822328,14.192,0.055,12.933,0.064,10,0000
P1823,245.16306,43.137382,245.1630005,43.1373812,0.156332,57058.75392979,14.156,0.062,12.856,0.072,5,0000
P1823,245.16306,43.137382,245.1630365,43.1373358,0.177408,57058.8195089,14.286,0.059,13.056,0.073,10,0000
P1823,245.16306,43.137382,245.1631083,43.1373927,0.132601,57058.81963626,14.298,0.055,12.927,0.057,10,0000
P1823,245.16306,43.137382,245.162917,43.137369,0.378562,57058.88521537,14.09,0.055,12.884,0.063,10,0000
P1823,245.16306,43.137382,245.1630961,43.1373489,0.152291,57058.95092189,14.253,0.056,12.992,0.07,10,0000
P1823,245.16306,43.137382,245.1630374,43.1373973,0.080985,57059.01662836,14.242,0.054,13.09,0.076,10,0000
