date,instrument,mjd,median_Fnu_rest_3000_3100_mjy,median_Fnu_rest_4200_4250_mjy,median_Fnu_rest_5100_5200_mjy
2002-04-10,archival,52374.0,0.13098078726783716,0.12217423347070994,0.14448624257885767
2021-04-06,archival,59310.0,0.10533360123756015,0.10684774029255265,0.11505762951014598
2021-04-07,archival,59311.40505383,0.13897370067695658,0.1412006698674136,0.1673234077878208
2021-04-08,archival,59312.0,0.11808979800252346,0.1178671707164828,0.13566663000408102
2021-04-25,archival,59329.40792134,0.1487490488638799,0.14802868277758613,0.16871134697755136
2021-05-08,archival,59342.0,0.14564437167528743,0.1393425581266624,0.16006621766849116
2021-05-17,archival,59351.0,0.14024701700334302,0.14587968379578115,0.16646515684527327
2021-06-05,archival,59370.0,0.13197467596066076,0.13175963997533252,0.15220995916448307
2022-05-09,archival,59708.0,0.17656579107837328,0.16051800602819033,0.17660505082252603
2022-05-10,archival,59709.0,0.20649003858529355,0.19148567856900522,0.21369080799357534
2022-08-16,archival,59807.0,0.18883204604233236,0.17886747087530136,0.2067605848780225
2022-08-26,archival,59817.0,0.20967884560124594,0.19419753102661444,0.20804450747623546
2022-08-27,archival,59818.0,0.19850573516595935,0.19925055930226238,0.2260221444563492
2023-03-27,archival,60030.0,0.189607664768538,0.18101255856976894,0.20079493338554905
2023-03-28,archival,60031.0,0.20470346707321102,0.19311222663329974,0.22033000044217255
2023-06-12,archival,60107.0,0.21868237338979354,0.208430841548222,0.22474506165795538
2024-01-20,archival,60329.0,0.18442014118313813,0.18102747569903843,0.1914563750146109
2024-02-13,archival,60353.0,0.2116136881582258,0.20306858504842706,0.20759457024966255
2024-05-03,archival,60433.0,0.16151443552726066,0.17869577261329903,0.19814324744453712
2024-08-02,archival,60524.0,0.20536217661086056,0.18531790698950806,0.20064498000980402
2026-09-24,NGPS,61307.15426556,0.22473973696832636,0.2148849243123039,0.2435674375514758
