objectid,label_bits,labels,umap_x,umap_y,fvar_w1,mean_w1_mjy,max_w1_mjy,clagn_score,is_known_clagn,in_region_clagn,in_region_zeltyn
133,1,SDSS_QSO,7.739371,0.18071246,0.024642469635976827,0.259411658133716,0.2821421851993655,0.04,False,False,False
661,1,SDSS_QSO,18.190603,3.0191956,0.28476228384875946,0.78964086721646,1.0606981161006104,0.06,False,False,False
8238,16,Turn-on,14.02884,2.2808678,0.12985492398204312,1.3359268337193924,1.9302505594548371,0.16,True,False,False
8137,32,Turn-off,12.585126,-0.28534952,0.12020322382999503,0.4152182826392011,0.5379629279562401,0.1,True,False,False
507,1,SDSS_QSO,17.65567,5.4433603,0.18710799596105146,2.9208092578151756,3.9731890978117987,0.02,False,False,False
32,1,SDSS_QSO,15.112832,-1.4549912,0.10563979722939364,1.7352278763358195,2.698936536640079,0.18,False,True,False
383,1,SDSS_QSO,16.892252,3.6517062,0.22104249076092344,1.3359913158589234,1.8848816011255352,0.12,False,False,False
147,1,SDSS_QSO,16.828356,3.8876944,0.13973094089023408,0.5692553193784992,0.7793724162562694,0.1,False,False,False
634,1,SDSS_QSO,7.973912,-3.4770703,0.01917702133847428,1.2588764641651244,1.3159178959317868,0.0,False,False,False
6948,768,SPIDER_BL+SPIDER_QSOBL,21.783638,6.022718,0.2922764942556607,0.4099280600076069,0.5891542725176635,0.04,False,False,False
148,1,SDSS_QSO,17.534693,5.241259,0.16464265282437895,1.1525644318920096,1.467250940420474,0.0,False,False,False
291,1,SDSS_QSO,16.7644,8.4962225,0.21433865306395292,0.46699587660774017,0.6676677629688954,0.04,False,False,False
184,33,SDSS_QSO+Turn-off,19.900215,9.589105,0.17257962763249785,1.9437472331861272,3.176462378828365,0.1,True,False,False
333,1,SDSS_QSO,18.279816,9.601023,0.35744915584724746,1.7144367748112779,2.5364475576000833,0.04,False,False,False
739,1,SDSS_QSO,18.989307,1.6817477,0.354909967578732,1.4968061212246297,2.3025163684778645,0.04,False,False,False
392,1,SDSS_QSO,17.101688,4.3568807,0.27312508456487733,0.6227461017767295,0.8788020969955881,0.02,False,False,False
6662,768,SPIDER_BL+SPIDER_QSOBL,12.887038,-2.1800146,0.1261362663655679,0.5453415093173481,0.6765550723149403,0.06,False,False,False
478,1,SDSS_QSO,20.134186,5.5643406,0.400135268314837,2.4365331044572742,3.6859059624885253,0.08,False,False,False
280,1,SDSS_QSO,20.733942,4.790141,0.313009565838951,0.7531364526088593,0.9929061439394632,0.04,False,False,False
48,1,SDSS_QSO,7.245185,-2.7432103,0.014852377722750896,0.8622151362435364,0.8905454226643221,0.0,False,False,False
154,1,SDSS_QSO,6.747867,-3.6149194,0.01148792838832603,1.3939947503534333,1.4217863254717713,0.0,False,False,False
363,1,SDSS_QSO,17.923174,7.488889,0.29467901671157615,0.8062053812624981,1.1226980399320938,0.02,False,False,False
872,1,SDSS_QSO,19.709967,8.175592,0.3589232567353044,1.1871045452906432,1.9871326969007088,0.08,False,False,False
920,1,SDSS_QSO,21.405764,7.7296166,0.26048463479046624,1.7562065980120423,2.7688476375604845,0.06,False,False,False
751,1,SDSS_QSO,21.008785,5.5992184,0.3394011360302589,1.2394503404895931,1.7476611115147456,0.02,False,False,False
877,1,SDSS_QSO,15.2098875,5.7064137,0.42424835852276915,1.3793492027591454,2.5143713346189114,0.16,False,False,False
